corpus_name,external_parent_id,chunk_id,chunk_index,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
KB,1115,d9a25b3a1b31534f899bf6d559d967e5,0,Gomla,Inquiry,Technical Issue,No,ok,What is the CF Limit,أية هو الحد الائتماني,yes,"Vertical: Gomla | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: What is the CF Limit
Question AR: أية هو الحد الائتماني

Script:
• أية هو الحد الائتماني.
شركة حالا بتمنح حضرتك حد شراء موافق عليه مقدما لاستخدامه في شراء منتجات متعددة زي الاجهزة الكهربائية، الأثاث والموبايلات ومنتجات اخرى موجودة على إبليكيشن حالا
حد الشراء يصل إلى 500,000 بيتحدد بناء على الاستعلام الائتماني من الشركة وتقدر تستخدمه في عمليات شراء حسب احتياجاتك وتسدد بالتقسيط على فترة من 6 حتى36 شهر حسب اختيارك.
• ولو الشراء هايكون من خلال حالا جمله هايكون على فترة التقسيط 6 شهور فقط
• لو العميل عايز يعرف تفاصيل عن التقديم والاجراءات بنحول المكالمه لحالا للتقسيط والاجهزة"
KB,1122,dfacf9f4b68657488781d266f64f7eda,0,Gomla,Complain,Financial Issue,Yes,ok,Return Order – Money Not Return to Halan Card,شكوى عميل من عدم رد مبلغ أوردر مرتجع لكارت حالا,yes,"Vertical: Gomla | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Return Order – Money Not Return to Halan Card
Question AR: شكوى عميل من عدم رد مبلغ أوردر مرتجع لكارت حالا

Script:
شكوى عميل من عدم رد مبلغ أوردر مرتجع لكارت حالا:
Halan Gomla → Complaints related to Product
انا بعتذر جدا لحضرتك استأذنك ممكن توضح لى الرقم اللى حضرتك طلبت بيه.
هيتم التأكد من تفاصيل أوردر العميل.
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في 48 ساعة عمل.
- Escalation: Yes
"
KB,1143,a906f254bce75f8dac9da6ebf75c09c1,0,Gomla,Complain,Financial Issue,Yes,ok,Delivery Fess Dispute,شكوى عميل من فرق مصاريف التوصيل,yes,"Vertical: Gomla | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Delivery Fess Dispute
Question AR: شكوى عميل من فرق مصاريف التوصيل

Script:
شكوى عميل من فرق مصاريف التوصيل Delivery Fess Dispute
Halan Gomla - Complaints related to Product إستاذتك ممكن توضح لى الرقم اللى حضرتك طلبت بيه
انا يعتذر جدا لحضرتك هايتم تقديم شكوى وهايتم الرد فى خلال ساعه
بتقدر تستخدم المحفظة ف الطلب مرة أخري أو في شحن فاتورة موبايلك او إي رقم اخر او تدفع فواتير الكهرباء والمياه أو التبرعات او حجز سفر ورحلات (جوباص - بلوباص - مصر للطيران) أو خدمات طبية أو خدمات الدفع (تحصيل قرض لبنك الاسكندرية او قرض تساهيل)
(Escalation needed: Yes)
Halan Gomla -> Complaint -> financial -> Delivery Fess Dispute"
KB,1150,c1dc3a8e111952b8b5582e7afab9ef52,0,Gomla,Complain,Financial Issue,Yes,ok,Discount Issue,عميل عنده مشكله برومو كود,yes,"Vertical: Gomla | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Discount Issue
Question AR: عميل عنده مشكله برومو كود

Script:
Discount Issue عميل عنده مشكله برومو كود Halan Gomla - Complaints related to Product استاذنك ممكن توضح لى الرقم اللى حضرتك طلبت بيه عميل اوردره إتلغى من خلال السيستم ولم يتم خصم المبغ من الكريديت كارد المندوب عمل الاوردر مرتجع بدون الرجوع لخدمه العملاء او للعميل ٠٠ العميل عنده مشكله فى بروموكود مش بيتفعل معاه وده بيكون لالى رومو غير عجله الحظ بوضح للعميل إرسال المشكله سكرين فيديو عند استخدام البرومو كود ع الواتس اب +20216303 ويتكتب فى التكت الرقم اللى هابيعت منه المشكله
بتبلغ العميل إن هايتم رد قيمه البروموكود فى خلال ساعه
Wallet ترد المبلغ عن طريق المحفظه ودي هتكون في خلال ساعه وتقدر حضرتك تستخدمهم في الطلب مره اخري أو في شحن فاتوره موبايلك او اي رقم ٠ اخر او تدفع فواتير الكهرباء والمياه او التبرعات أو حجز سفر ورحلات(جوباص - بلوياص - مصر الطيران) أو خدمات طيبه أو خدمات الدفع ( تحصيل قرض لبنك الإسكندرية او قرض تساهيل)
Halan Gomla -> Complaint -> financial ->Discount Issue _(Escalation needed: Yes) ."
KB,1151,dda1952662c35f26aba70a8f51fbd2c1,0,Gomla,Complain,Financial Issue,Yes,ok,Return Order – Money Not Return to Wallet,شكوى عميل من عدم رد مبلغ أوردر مرتجع للمحفظة,yes,"Vertical: Gomla | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Return Order – Money Not Return to Wallet
Question AR: شكوى عميل من عدم رد مبلغ أوردر مرتجع للمحفظة

Script:
شكوى عميل من عدم رد مبلغ أوردر مرتجع للمحفظة:
Halan Gomla → Complaints related to Product

انا بعتذر جدا لحضرتك استأذنك ممكن توضح لي الرقم اللي حضرتك طلبت بيه.
بيتم مراجعة Transaction History على Admin Tool والبحث عن Balance Adjustment.

لو موجودة:
بنوضح للعميل بالتاريخ والحالة.
- Escalation: No

لو مش موجودة:
بيتم التأكد من تفاصيل أوردر العميل وتقديم شكوى.
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في خلال ساعة.
بتقدر تستخدم المحفظة في الطلب مرة أخري أو شحن فاتورة موبايلك أو اي رقم آخر أو تدفع فواتير الكهرباء والمياه أو التبرعات أو حجز سفر ورحلات (جوباص - بلو باص - مصر للطيران) أو خدمات طبية أو خدمات الدفع (تحصيل قرض لبنك الاسكندرية او قرض تساهيل).
- Escalation: Yes"
KB,1152,0dd048dbe5615bc3bd07f1cebad72f08,0,Gomla,Complain,Financial Issue,Yes,ok,Cancelled Order – Money Not Return to Wallet,شكوى عميل من عدم رد مبلغ أوردر ملغى للمحفظة,yes,"Vertical: Gomla | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Cancelled Order – Money Not Return to Wallet
Question AR: شكوى عميل من عدم رد مبلغ أوردر ملغى للمحفظة

Script:
شكوى عميل من عدم رد مبلغ أوردر ملغى للمحفظة:
Halan Gomla → Complaints related to Product

انا بعتذر جدا لحضرتك استأذنك ممكن توضح لي الرقم اللي حضرتك طلبت بيه.
بيتم مراجعة Transaction History على Admin Tool والبحث عن Balance Adjustment في تاريخ الاوردر الملغي.

لو موجودة:
بنوضح للعميل.
- Escalation: No

لو مش موجودة:
بيتم التأكد من تفاصيل أوردر العميل وتقديم شكوى.
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في خلال ساعة.
بتقدر تستخدم المحفظة في الطلب مرة أخري أو شحن فاتورة موبايلك أو اي رقم آخر أو تدفع فواتير الكهرباء والمياه أو التبرعات أو حجز سفر ورحلات (جوباص - بلو باص - مصر للطيران) أو خدمات طبية أو خدمات الدفع (تحصيل قرض لبنك الاسكندرية او قرض تساهيل).
- Escalation: Yes"
KB,1163,70cfd2e0c07e5a4da22656b250ba4718,0,Gomla,Complain,Financial Issue,Yes,ok,Different Price,فرق سعر منتج,yes,"Vertical: Gomla | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Different Price
Question AR: فرق سعر منتج

Script:
Different Price
Halan Gomla - Complaints related to Product . استانك ممكن توضح لى الرقم اللى حضرتك طلبت بيه سيتم كتابة تفاصيل الشكوى بالكامل (رقم الاوردر -نوع المنتج - الكمية - التفاصيل بالكامل)
حضرتك تقدر تبعت الصور على رقم الواتس اب 20216303+ على مدار اليوم لمساعدتنا فى عدم تكرار المشكله هره أخرى أو حضرتك ميعتش الصور هيتم الغاء الشكوى فى نهاية اليوم
انا يعتذر جدا لحضرتك هايتم تقديم شكوى وهايتم الرد فى خائل سلمه سواء العميل كاش يحفظه أو CF-Halan Card لو العميل كريديت عايز المبلغ ع الكريديت هايكون فى خلال 14 يوم عمل
بتقدر تستخدم المحفظة ف الطلب مرة أخرى أو في شحن فاتورة موبايلك أو أى رقم اخر او تدفع فواتير الكهرباء والمياه أو التبرعات أو حجز سفر ورحلات (جوباص - بلوياص - مصر للطيران) أو خدمات طبية أو خدمات الدفع (تحصيل قرض البنك الاسكندرية أو قرض تساهيل)
Halan Gomla -> Complaint -> financial -> Different Price _(Escalation needed: Yes) ."
KB,1164,942aefda943d5eb9bdb34b6076dd9c2c,0,Gomla,Complain,Financial Issue,Yes,ok,Canceled Order – Money Not Return to Credit Card,شكوى عميل من عدم رد مبلغ أوردر ملغي للبطاقة الائتمانية,yes,"Vertical: Gomla | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Canceled Order – Money Not Return to Credit Card
Question AR: شكوى عميل من عدم رد مبلغ أوردر ملغي للبطاقة الائتمانية

Script:
شكوى عميل من عدم رد مبلغ أوردر ملغي للبطاقة الائتمانية:
Halan Gomla → Complaints related to Product

انا بعتذر جدا لحضرتك استأذنك ممكن توضح لي الرقم اللي حضرتك طلبت بيه.
بنسأل العميل يفضل الرد على البطاقة الائتمانية ولا على محفظة حالا؟
هيتم التأكد من تفاصيل أوردر العميل.

لو العميل مصر على الرد على البطاقة الائتمانية:
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في خلال 14 يوم عمل.
لو العميل يفضل المحفظة: هيتم الرد في خلال ساعة واحدة.

بتقدر تستخدم المحفظة في الطلب مرة أخري أو شحن فاتورة موبايلك أو اي رقم آخر أو تدفع فواتير الكهرباء والمياه أو التبرعات أو حجز سفر ورحلات (جوباص - بلو باص - مصر للطيران) أو خدمات طبية أو خدمات الدفع (تحصيل قرض لبنك الاسكندرية او قرض تساهيل).

- Escalation: Yes"
KB,1166,0dbb53db1cd75dd49688e440bcab8269,0,Gomla,Complain,Financial Issue,Yes,ok,Return Order – Money Not Return to Credit Card,شكوى عميل من عدم رد مبلغ أوردر مرتجع للبطاقة الائتمانية,yes,"Vertical: Gomla | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Return Order – Money Not Return to Credit Card
Question AR: شكوى عميل من عدم رد مبلغ أوردر مرتجع للبطاقة الائتمانية

Script:
شكوى عميل من عدم رد مبلغ أوردر مرتجع للبطاقة الائتمانية:
Halan Gomla → Complaints related to Product

انا بعتذر جدا لحضرتك استأذنك ممكن توضح لي الرقم اللي حضرتك طلبت بيه.
بنسأل العميل يفضل الرد على البطاقة الائتمانية ولا على محفظة حالا؟
هيتم التأكد من تفاصيل أوردر العميل.

لو العميل مصر على الرد على البطاقة الائتمانية:
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في خلال 14 يوم عمل.
لو العميل يفضل المحفظة: هيتم الرد في خلال ساعة واحدة.

بتقدر تستخدم المحفظة في الطلب مرة أخري أو شحن فاتورة موبايلك أو اي رقم آخر أو تدفع فواتير الكهرباء والمياه أو التبرعات أو حجز سفر ورحلات (جوباص - بلو باص - مصر للطيران) أو خدمات طبية أو خدمات الدفع (تحصيل قرض لبنك الاسكندرية او قرض تساهيل).

- Escalation: Yes"
KB,1228,0124ef037b3b54d39eb6bcdc449c12cb,0,Gomla,Complain,Non-Technical Issue,Yes,ok,Complaint from Delivery Rep promised with specific delivery time,شكوى عميل من تاكيد ميعاد توصيل خطأ,yes,"Vertical: Gomla | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Complaint from Delivery Rep promised with specific delivery time
Question AR: شكوى عميل من تاكيد ميعاد توصيل خطأ

Script:
Complaint from Delivery Rep promised with specific delivery time
شكوى عميل من تاكيد ميعاد توصيل خطأ Halan Gomla - Complaints Related to Delivery Rep
انا بعتذر لحضرتك جدا تم تقديم شكوى حضرتك للقسم المختص وسيتم التحقيق فى الشكوى فى خلال ساعة وهايتم اتخاذ الجزاء الإداري من قبل الإداره لانه غير مقبول تماما حدوث إي تجاوز من خلال المندوب
سيتم كتابة تفاصيل الشكوى بالكامل (رقم الاوردر - تاريخ الاستلام - التفاصيل بالكامل - اسم المندوب)
Escalation needed: Yes)"
KB,1229,f39ede998a2e5cf59e6b66e7324a5aaf,0,Gomla,Complain,Non-Technical Issue,Yes,ok,Complaint from Delivery Rep (Bad Attitude),شكوى عميل من سوء سلوك مندوب الديليفرى,yes,"Vertical: Gomla | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Complaint from Delivery Rep (Bad Attitude)
Question AR: شكوى عميل من سوء سلوك مندوب الديليفرى

Script:
• شكوى عميل من سوء سلوك مندوب الديليفري
Complaint from Delivery Rep (Bad Attitude) Halan Gomla - Complaints Related to Delivery Rep استأذنك ممكن توضح لى الرقم اللى حضرتك طلبت بيه
انا يعتذر لحضرتك جدا تم تقديم شكوى حضرتك للقسم المختص وسيتم التحقيق فى الشكوى فى خلال ساعة وهايتم اتخاذ الجزاء الإداري من قبل الإداره لانه غير مقبول تماما حدوث إي تجاوز من خلال المندوب
سيتم كتابة تفاصيل الشكوى بالكامل (رقم الإوربر - تاريخ الاستلام - التفاصيل بالكامل - اسم المندوب)
(Escalation needed: Yes)"
KB,1230,d7bd817effd35f14a8e4a9bf6b153548,0,Gomla,Complain,Non-Technical Issue,Yes,ok,Complaint from Delivery (wrong cash transaction),شكوى عميل من مندوب حصل مبلغ قيمته اعلى من قيمه الاوردر,yes,"Vertical: Gomla | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Complaint from Delivery (wrong cash transaction)
Question AR: شكوى عميل من مندوب حصل مبلغ قيمته اعلى من قيمه الاوردر

Script:
Complaint from Delivery (wrong cash transaction) شكوى عميل من مندوب حصل مبلغ قيمته اعلى من قيمه الاوردر
Halan Gomla - Complaints Related to Delivery Rep
استأذنك ممكن توضح لى الرقم اللي حضرتك طلبت بيه
انا بعتذر لحضرتك جدا تم تقديم شكوى حضرتك القسم المختص وسيتم التحقيق فى الشكوى فى أقرب وقت وهايتم ابلاغك بمكالمه نتيجة التحقيق فى الشكوى
سيتم كتابة تفاصيل الشكوى بالكامل (رقم الاوردر - تاريخ الاستلام - التفاصيل بالكامل - اسم المندوب)
(Escalation needed: Yes)"
KB,1234,724123fb5cf35a019dfad7c07f970b9b,0,Gomla,Complain,Non-Technical Issue,Yes,ok,Complaint from Delivery (Appearance),شكوى عميل من مظهراو شكل ملابس المندوب,yes,"Vertical: Gomla | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Complaint from Delivery (Appearance)
Question AR: شكوى عميل من مظهراو شكل ملابس المندوب

Script:
Complaint from Delivery (Appearance) شكوى عميل من مظهراو شكل ملابس المندوب
Halan Gomla - Complaints Related to Delivery Rep استأذنك ممكن توضح لى الرقم اللي حضرتك طلبت بيه
انا يعتذر لحضرتك جدا تم تقديم شكوى حضرتك للقسم المختص وسيتم التحقيق فى الشكوى فى أقرب وقت وهايتم اتخاذ الجزاء الإداري من قبل الإداره لإنه غير مقبول تماما حدوث إي تجاوز من خلال المندوب
سيتم كتابة تفاصيل الشكوى بالكامل (رقم الاوردر - تاريخ الاستلام - التفاصيل بالكامل - اسم المندوب)
(Escalation needed: Yes)"
