external_parent_id,chunk_id,chunk_index,queue_category,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
1002,e26b9c5884c15f2795b126996c12edaa,0,halan,General,Inquiry,Technical Issue,No,ok,How to purchase one card,ازاي اقدر استفاد بالخدمة one card,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: How to purchase one card
Question AR: ازاي اقدر استفاد بالخدمة one card

Script:
ازاي اقدر استفاد بالخدمة؟
One Card -> inquiry -> How to purchase one card
حضرتك بتقدر تشتري القسيمة عن طريق تطبيق حالا من الصفحة الرئيسية قسائم الالعاب (Gaming vouchers) وبتشتري القسيمة اللي حضرتك محتاجها ..
بعد اتمام عملية الشراء بيظهر للعميل serial number الخاص بال voucher ولازم نأكد علي العميل اختيار اسم الدوله الصحيح التابع له جهاز الألعاب الخاص بيه (Server).
ملحوظة مهمه:
يعني لو العميل بيشغل الPlay station
علي USA لازم يختار الVoucher علي USA
X
Playstation Store
PlayStation Store
KSA
USA
UAE"
1004,6484c62c89295ab28af26d8ba8375e0a,0,halan,General,Complain,Technical Issue,Yes,ok,voucher not available (One Card),غير متاح voucher عميل يشكوا ان ال (One Card),yes,"Vertical: General | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: voucher not available (One Card)
Question AR: غير متاح voucher عميل يشكوا ان ال (One Card)

Script:
عميل يشكوا ان ال voucher غير متاح:
One Card -> complaint -> technical -> voucher not available
Escalated: Yes
هنعتذر للعميل وهنوضحله اننا هنقدمله شكوي وهيتم الرد خلال 48 ساعه عمل .. و لازم ناخد منه البيانات دي :
Voucher name -1 Transaction ID -2
Transaction date
-3
Screen shoot من المشكله -4"
1005,0c8c731ae92d521499bd31ca96130c5a,0,halan,General,Complain,Amount Deducted and Customer didn't receive the Serial Number (One Card),Yes,ok,Amount Deducted and Customer didn't receive the Serial Number (One Card),voucherعميل يشكوا ان  الفلوس اتخصمت و لم يستقبل ال (One Card),yes,"Vertical: General | Type: Complain | Issue: Amount Deducted and Customer didn't receive the Serial Number (One Card) | Escalation: Yes

Question EN: Amount Deducted and Customer didn't receive the Serial Number (One Card)
Question AR: voucherعميل يشكوا ان  الفلوس اتخصمت و لم يستقبل ال (One Card)

Script:
عميل يشكوا ان الفلوس اتخصمت ولم يستقبل الـ voucher (One Card):

One Card → complaint → technical → Amount Deducted and Customer didn't receive the Serial Number

هنعتذر للعميل وهنوضحله اننا هنقدمله شكوي وهيتم الرد خلال 48 ساعة عمل، ولازم ناخد منه البيانات دي:
1. Voucher name
2. Transaction ID
3. Transaction date
4. Screenshot من المشكلة

CRM: One Card → Complaint → Technical → Amount Deducted and Customer didn't receive the Serial Number | Escalation: Yes"
1006,8eca4ccc9c235b7facc1996572ab96d2,0,halan,General,Complain,Technical Issue,Yes,ok,Voucher Serial Number is missing numbers (One Card),عميل يشكوا ان ارقام ال voucher مش كامله (One Card),yes,"Vertical: General | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: Voucher Serial Number is missing numbers (One Card)
Question AR: عميل يشكوا ان ارقام ال voucher مش كامله (One Card)

Script:
عميل يشكوا ان ارقام ال voucher مش كامله:
One Card → complaint → technical → Voucher Serial Number is missing numbers

لازم نتأكد مع العميل انه بيكتب الرقم يدوي مش copy-paste، ونتأكد مفيش مسافات قبل او بعد الرقم.

لو العميل أكد انه عمل كده والمشكلة لسه موجودة:
بنوضحله هيتم تقديم شكوى والرد في خلال 48 ساعة عمل.

البيانات المطلوبة:
- اسم الـ voucher
- Transaction ID
- تاريخ المعاملة
- سكرين شوت من المشكلة

- Escalation: Yes"
1008,23e79bc8682e52989fd7a0386b05502b,0,halan,General,Complain,Technical Issue,Yes,ok,voucher not available (One Card),مش متوافق مع البلد اللي بيختارها Voucher عميل يشكوا ان ال (One Card),yes,"Vertical: General | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: voucher not available (One Card)
Question AR: مش متوافق مع البلد اللي بيختارها Voucher عميل يشكوا ان ال (One Card)

Script:
عميل يشكوا ان ال Voucher مش متوافق مع البلد اللى بيختارها:
One Card -> complaint -> technical -> voucher not available
Escalated: No
هنعتذر للعميل ان هو مسؤل عن الاختيار الvoucher ولازم نأكد علي اختيار اسم الدوله الصحيح التابع له جهاز الالعاب الخاص بيه (Server)
- يعني لو العميل بيشغل الPlay station علي USA لازم يختار الVoucher علي USA.
Google Play
- لو العميل فعلا اختار البلد الصح هنقدم الشكوي هيتم الرد خلال 48 ساعة عمل
Escalated: Yes
Google Play
UK US"
1019,57fb51ec3d3b55b5853d7a3b7236165c,0,halan,Gold,Request,Non-Technical Issue,No,ok,Customer wants to change contract signing from courier to branch,عميل يريد تغيير مضي العقد من المندوب للفرع,yes,"Vertical: Gold | Type: Request | Issue: Non-Technical Issue | Escalation: No

Question EN: Customer wants to change contract signing from courier to branch
Question AR: عميل يريد تغيير مضي العقد من المندوب للفرع

Script:
عميل يريد تغيير مضي العقد من المندوب للفرع:
بتأكد من البورتال حاله الطلب (لم يفعل بعد / جاهز للتوصيل).
بنسأل العميل عن سبب اتجاه للفرع و بنحاول نعدل العميل ان المندوب يروح ليه لامضاء العقد.
لو العميل اصر: بتوضح للعميل عنوان اقرب فرع ومواعيد الفرع وايه بيقدر يتوجه ليه لامضاء العقد، والعميل بيوضح للمندوب انه هيتوجه للفرع للامضاء.

ملحوظة: نبص علي منطقه العميل او المحافظه ينفع فيها فرع او مندوب ولا لأ قبل التأكيد علي العميل المعلومه.
- Escalation: No
- CRM: Request → Request a call from courier → Escalation Needed No
"
1020,edd2287327d655c8a78a7521bf756277,0,halan,Saving,Request,Non-Technical Issue,No,ok,Customer wants to change contract signing from branch to courier,عميل يريد تغير مضي العقد من الفرع للمندوب,yes,"Vertical: Saving | Type: Request | Issue: Non-Technical Issue | Escalation: No

Question EN: Customer wants to change contract signing from branch to courier
Question AR: عميل يريد تغير مضي العقد من الفرع للمندوب

Script:
عميل يريد تغير مضي العقد من الفرع للمندوب:
بيتم التأكد من حالة الطلب على البورتال (لم يفعل بعد / متجه للفرع).
في مرحلة التواصل مع العميل لتأكيد البيانات (validation) بيتم فتح تيكت.

قبل التأكيد على العميل: نتأكد من منطقة العميل او المحافظة ينفع فيها فرع او مندوب ولا لا.
بنسجل كل البيانات على الفورم: Validation&Logistics Escalations 2023 (microsoft.com).

- Escalation: No
- CRM: Request → Request a call from courier → Escalation Needed No"
1022,8f51547279a755a2919c1325a8205977,0,halan,CF,Inquiry,Technical Issue,No,ok,Inquiry about Halan service,عميل يستفسر عن الخدمات التي تقدمها شركة حالا,yes,"Vertical: CF | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Inquiry about Halan service
Question AR: عميل يستفسر عن الخدمات التي تقدمها شركة حالا

Script:
* عميل يستفسر عن الخدمات التي تقدمها شركة حالا
Halan -> Inquiry -> Inquiry about halan service
تطبيق حالا هو تطبيق متكامل بيوفرلك كل احتياجاتك وتقدر تختار وسيلة الدفع اللي تناسبك زي:
حالا جمله: تقدر تشتري كل طلبات البيت بسعر الجملة ۔
حالا تحويش: تقدر تفتح حساب تحويش وتستفيد بأعلى عائد يومي في مصر. ۔ حالا جولد: تقدر تشتري دهب بالتقسيط على 12 شهر.
حالا للمدفوعات الالكترونية: تقدر تشحن فاتورة موبايلك -تدفع فواتير الكهرباء -المياه - التبرعات - حجز سفر -خدمات طبية - خدمات الدفع (تحصيل قرض لبنك الاسكندرية او قرض تساهيل أو اقساط حالا للتمويل الاستهلاكي)
۔
حالا جمعية : في المرحلة التجريبية
متجر حالا: تقدر من خلاله تشتري منتجات متعددة زى الاجهزة الكهربائية، الأثاث والموبايلات ومنتجات اخرى موجودة على ۔ ابليكيشن حالا
بالتعاون مع شركة تساهيل خدمة تمويل المشروعات ( تمويل يصل الي 5 مليون جنيه)
- خدمات التمويل:
خدمات التقسيط مع حالا لتمويل الافراد (تمويل مشتريات, تمويل تشطيبات , تمويل مصاريف التعليم)
۔
ألعاب حالا: تقدر تلعب كل يوم وتكسب لحد 1000 جنيه بيتضافوا علي محفظة حالا."
1067,1ce291e521c9532ca829c59d8169c60c,0,halan,Saving,Complain,Non-Technical Issue,No,ok,Contract status submitted/ready for printing/printed — send to Validation team,ولو العميل ع السيستم (متقدم - جاهز للطباعة - تم طباعة العقد) محتاجين نبعت البيانات دى لتيم ال Validation علشان نحدد معاه ميعاد التوصيل للعقد,yes,"Vertical: Saving | Type: Complain | Issue: Non-Technical Issue | Escalation: No

Question EN: Contract status submitted/ready for printing/printed — send to Validation team
Question AR: ولو العميل ع السيستم (متقدم - جاهز للطباعة - تم طباعة العقد) محتاجين نبعت البيانات دى لتيم ال Validation علشان نحدد معاه ميعاد التوصيل للعقد

Script:
ولو العميل ع السيستم (متقدم - جاهز للطباعة - تم طباعة العقد) محتاجين نبعت البيانات دى لتيم ال Validation علشان نحدد معاه ميعاد التوصيل للعقد:

البيانات المطلوبة:
- الاسم بالكامل
- رقم التليفون المسجل بحساب حالا تحويش
- تفاصيل الشكوى

بنسجل على الفورم: Validation&Logistics Escalations 2023 (microsoft.com).
هيتم التواصل على مدار اليوم (ماعدا الجمعة).

- Escalation: No
- CRM: Complaint → Non-Technical → Delay Receiving the Contract → Escalation Needed No"
1071,a19c80f405c452d1a2fe9e478d9b6a82,0,halan,CF,Request,Technical Issue,Yes,ok,Request to decrease CF limit,عميل يريد تقليل مبلغ الحد الائتماني,yes,"Vertical: CF | Type: Request | Issue: Technical Issue | Escalation: Yes

Question EN: Request to decrease CF limit
Question AR: عميل يريد تقليل مبلغ الحد الائتماني

Script:
* عميل يريد تقليل مبلغ الحد الائتمانى 0
CF -> Request -> Request to decrease CF limit
Escalation : Yes
Instant Approval
فرع مشروعي أو تساهيل
سيتم تقديم طلب حضرتك ولو في امكانية هيتم تنفيذ طلبك بناءا على رد ادارة ۔ الائتمان في خلال 5 أيام عمل.
لازم نسأل العميل محتاج يقلل الليمت لمبلغ كام (مع العلم انه لا يمكن تقليل المبلغ - لرقم اكثر من المتبقي مع العميل .
بمعني انه لو العميل الليمت بتاعه 50 الف و العميل استخدم 30الف مش هينفع ان العميل يطلب يقلل الليمت اقل من ال30 الف
استأذنك ممكن ترجع للفرع اللي قدمت فيه الاوراق ولو في امكانية هيتم تنفيذ طلبك من قبل الفرع بناءا على رد ادارة الائتمان."
