corpus_name,external_parent_id,chunk_id,chunk_index,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
KB,1020,edd2287327d655c8a78a7521bf756277,0,Saving,Request,Non-Technical Issue,No,ok,Customer wants to change contract signing from branch to courier,عميل يريد تغير مضي العقد من الفرع للمندوب,yes,"Vertical: Saving | Type: Request | Issue: Non-Technical Issue | Escalation: No

Question EN: Customer wants to change contract signing from branch to courier
Question AR: عميل يريد تغير مضي العقد من الفرع للمندوب

Script:
عميل يريد تغير مضي العقد من الفرع للمندوب:
بيتم التأكد من حالة الطلب على البورتال (لم يفعل بعد / متجه للفرع).
في مرحلة التواصل مع العميل لتأكيد البيانات (validation) بيتم فتح تيكت.

قبل التأكيد على العميل: نتأكد من منطقة العميل او المحافظة ينفع فيها فرع او مندوب ولا لا.
بنسجل كل البيانات على الفورم: Validation&Logistics Escalations 2023 (microsoft.com).

- Escalation: No
- CRM: Request → Request a call from courier → Escalation Needed No"
KB,1067,1ce291e521c9532ca829c59d8169c60c,0,Saving,Complain,Non-Technical Issue,No,ok,Contract status submitted/ready for printing/printed — send to Validation team,ولو العميل ع السيستم (متقدم - جاهز للطباعة - تم طباعة العقد) محتاجين نبعت البيانات دى لتيم ال Validation علشان نحدد معاه ميعاد التوصيل للعقد,yes,"Vertical: Saving | Type: Complain | Issue: Non-Technical Issue | Escalation: No

Question EN: Contract status submitted/ready for printing/printed — send to Validation team
Question AR: ولو العميل ع السيستم (متقدم - جاهز للطباعة - تم طباعة العقد) محتاجين نبعت البيانات دى لتيم ال Validation علشان نحدد معاه ميعاد التوصيل للعقد

Script:
ولو العميل ع السيستم (متقدم - جاهز للطباعة - تم طباعة العقد) محتاجين نبعت البيانات دى لتيم ال Validation علشان نحدد معاه ميعاد التوصيل للعقد:

البيانات المطلوبة:
- الاسم بالكامل
- رقم التليفون المسجل بحساب حالا تحويش
- تفاصيل الشكوى

بنسجل على الفورم: Validation&Logistics Escalations 2023 (microsoft.com).
هيتم التواصل على مدار اليوم (ماعدا الجمعة).

- Escalation: No
- CRM: Complaint → Non-Technical → Delay Receiving the Contract → Escalation Needed No"
KB,1080,31202192408e52198222323b6ed7e8e3,0,Saving,Inquiry,Non-Technical Issue,No,ok,The client asks about the profit that appears on the application,العميل بيسال علي اي الربح اللي بيظهر عنده علي الابلكيشن,yes,"Vertical: Saving | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: The client asks about the profit that appears on the application
Question AR: العميل بيسال علي اي الربح اللي بيظهر عنده علي الابلكيشن

Script:
العميل بيسال علي اي الريح اللي بيظهر عنده علي الابلكيشن The client asks about the profit that appears on the application
شباب فى حالا تحويش
يعنى ايه الربح اللى بيبقى ظاهر تحت المبلغ ده بيكون قيمه الربح اللى العميل درله ع المبلغ اللى اتعمله إيداع معادا من وقت وتاريخ الإبداع مثال انا عملت إيداع بقيمة 229 جنيه من شهرين لغاية دلوقتى نزلى عليهم ربح 8% بقيمه فلوس 18.17 جنيه من وقت ماعملت الإبداع وبقى توتال المبلغ 244.60 جنيه ولغايه ما اكمل السنه هاوصل للنسبه إلى هى 22% فالمبلغ يريد والعميل يقدر يتابع كل يوم الربح راد قد ايه ودزله مبلغ مقابل للريح ده قد ايه
10:54 5
حالا تحويش ٨
حساب التحويش
244.6 جنيه ® 2. الريح (8.02%) بقيمة 18.17 جنيه
?
حوش
ـيع
اراي لدوش؟
0.60 جية <
رصيدك
معاملاتي السابقة
عرض الكل >
٣٠ مايو ٢٠٢٤ . الخميس
29.57 ج.م ناجحة
استثمار نقدي
٣٠ مايو ٢٠٢٤ , الخميس
29.57 ج.م
بالتعاون مع azimut
E
١١:٤٣ ص"
KB,1083,c17f67358b06577c83fb44dcd6ed32e1,0,Saving,Inquiry,Non-Technical Issue,No,ok,ايه هو اقل مبلغ ممكن اكسبه؟,ايه هو اقل مبلغ ممكن اكسبه؟,yes,"Vertical: Saving | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: ايه هو اقل مبلغ ممكن اكسبه؟
Question AR: ايه هو اقل مبلغ ممكن اكسبه؟

Script:
ايه هو اقل مبلغ ممكن اكسبه؟

وصل صندوق الاستثمار الخاص بنا الى 21 %

CRM: Inquiry → Non-Technical Issue | Escalation: No"
KB,1130,f86def67f17156a08d7aba59bbe1cb6d,0,Saving,Request,Non-Technical Issue,No,ok,Customer signed contract with one number and wants to change to another,العميل مضى العقد برقم وعايز يغير ل رقم تانى,yes,"Vertical: Saving | Type: Request | Issue: Non-Technical Issue | Escalation: No

Question EN: Customer signed contract with one number and wants to change to another
Question AR: العميل مضى العقد برقم وعايز يغير ل رقم تانى

Script:
العميل مضى العقد برقم وعايز يغير ل رقم تانى:
ممكن اعرف اي سبب لتغير الرقم؟

لو السبب زي ان الرقم ضاع ومش قادر يسترجعه (الخط مش باسمه او خط شركات):
بنعتذر جدا لحضرتك ونوضح انه لا يوجد امكانية لتغيير رقم الموبايل المسجل.

- Escalation: No
- CRM: Request → Change Mobile Number → Escalation Needed No"
KB,1131,3dbe7dbc067a5a1291f91484b7f7bed4,0,Saving,Inquiry,Non-Technical Issue,No,ok,Difference between Tahweesh return and competitors,في حالة سؤال العميل عن الفرق بين العائد في حالا تحويش و اي منافس ؟,yes,"Vertical: Saving | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Difference between Tahweesh return and competitors
Question AR: في حالة سؤال العميل عن الفرق بين العائد في حالا تحويش و اي منافس ؟

Script:
في حالة سؤال العميل عن الفرق بين العائد في حالا تحويش و اي منافس؟
في الوقت الحالي العائد بتاعنا وصل لـ 21% ع السنة و ده اعلى عائد يومي في مصر، وحضرتك تقدر تشوف العائد السنوي للتطبيقات التي تقدم نفس الخدمة وصل لكام في الوقت الحالي.

- Escalation: No
- CRM: Inquiry → Interest Rate → Escalation Needed No"
KB,1190,690e8b4de03255acb369cd804734b58d,0,Saving,Inquiry,Non-Technical Issue,No,ok,How to save (Tahweesh)?,ازاى اقدر احوش؟,yes,"Vertical: Saving | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: How to save (Tahweesh)?
Question AR: ازاى اقدر احوش؟

Script:
ازاى اقدر احوش؟
بعد ما العميل بيعمل ايداع بيتم تحويش المبلغ اللى تم ايداعه بالكامل وبيتم نزول الفائده تلقائي من تاني يوم على طول من غير الجمعة والسبت والاجازات الرسمية (معاذا يوم الجمعه والسبت بتنزل يوم الاحد بشكل تراكمى).
- Escalation: No
- CRM: Inquiry → General inquiry → Escalation Needed No"
KB,1196,973a9059541358fa9e003a1268a7b451,0,Saving,Complain,Non-Technical Issue,No,ok,Customer on system heading to branch — not activated yet,ولو العميل ع السيستم متجه للفرع غير مفعل بعد,yes,"Vertical: Saving | Type: Complain | Issue: Non-Technical Issue | Escalation: No

Question EN: Customer on system heading to branch — not activated yet
Question AR: ولو العميل ع السيستم متجه للفرع غير مفعل بعد

Script:
ولو العميل ع السيستم متجه للفرع غير مفعل بعد:
بيتم التوضيح للعميل:
بالفعل يافندم تم التواصل مع حضرتك للتوجه للفرع للإمضاء.
بتقدر تتوجه لنفس الفرع اللي تم توضيحه من خلال مكالمة خدمة العملاء لإمضاء العقد.
مع العلم ان مواعيد عمل الفروع من الساعة 9 ص حتى 5 م ماعدا الجمعة والسبت اجازه.
- Escalation: No
- CRM: Complaint → Non-Technical → Delay Receiving the Contract → Escalation Needed No"
KB,1198,82d4c1a6f588581b8b0b3e9ea05bdec8,0,Saving,Inquiry,Non-Technical Issue,No,ok,How to find the nearest branch for Tahweesh form signing?,ازاي اقدر اعرف أيه اقرب فرع عشان امضي الاستماره الخاصة بحالا تحويش؟,yes,"Vertical: Saving | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: How to find the nearest branch for Tahweesh form signing?
Question AR: ازاي اقدر اعرف أيه اقرب فرع عشان امضي الاستماره الخاصة بحالا تحويش؟

Script:
ازاي اقدر اعرف أيه اقرب فرع عشان امضي الاستماره الخاصة بحالا تحويش؟

لو العميل أنهي التسجيل في الخدمة:
مراجعة الشيت الخاصة بفروع حالا تحويش وإبلاغ العميل بالفرع الأقرب بالنسبه ليه.

لو العميل لسه بيسجل في الخدمة:
بعد إتمام عملية التسجيل هتقدر تعرف اماكن الفروع عشان تتوجه على أقرب فرع وتوقع استماره حساب التحويش. في امكانيه اننا نقوم بتوصيل العقد لحضرتك في المنزل او العمل، وبيتم التواصل معاك لتحديد الميعاد (يتم ارسال ايميل بالتفاصيل ويتم التواصل مع العميل).
في الفروع يوضح للعميل القريب لو العميل مش عارف و يبلغه بمواعيد العمل (من الاحد الي الخميس من 9 ص الي 5 مساءً).
وبيتم تفعيل الخدمة بعد كده في خلال 24 ساعة عمل من غير الجمعه والسبت والاجازات الرسمية.
بعد تفعيل الحساب هتقدر تبدأ تحويش فلوسك من التطبيق بالضغط على إيداع تحويش.

خطوات من التطبيق:
1. من تطبيق حالا اضغط على اماكن الفروع → اسمح للتطبيق بالوصول للموقع.
2. هيظهرلك اسماء وعناوين اقرب فروع ليك.

- Escalation: No
- CRM: Inquiry → Nearest branch → Escalation Needed No"
KB,1200,104245faf9c55c37a592d41204d1f9a8,0,Saving,Inquiry,Non-Technical Issue,No,ok,Is there a deposit fee,هل في رسوم ايداع؟,yes,"Vertical: Saving | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Is there a deposit fee
Question AR: هل في رسوم ايداع؟

Script:
هل في رسوم ايداع؟
في رسوم على كل عملية ابداع من كل محفظه الكترونيه 0.5 %
في رسوم على كل عملية ابداع من كل انستا بإى حد أدنى 50 قرش وحد أقصى 20 جنيه"
