corpus_name,external_parent_id,chunk_id,chunk_index,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
KB,1189,d5fe34416ba75b239abed02a699ad7c6,0,Tasaheel,Inquiry,Technical Issue,Yes,ok,Inquiry about Tasaheel Branch working hours (Tasaheel),عميل يستفسر بخصوص مواعيد الفرع (Tasaheel),yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Technical Issue | Escalation: Yes

Question EN: Inquiry about Tasaheel Branch working hours (Tasaheel)
Question AR: عميل يستفسر بخصوص مواعيد الفرع (Tasaheel)

Script:
عميل يستفسر بخصوص مواعيد الفرع :
هنسأل العميل يعرف عنوان الفرع اولا ولا لا .. ولو ميعرفش هنوصح العنوان. هنقول للعميل علي مواعيد الفرع من 9 صباحا حتي 5 مساء في الايام العادية. O ايام الاجازات الرسمية المواعييد بيتم تحديدها وقت الاجازة.
Escalated No
CRM: Inquiry-> -- >Inquiry about Tasaheel Branch working hours"
KB,1193,674de6186f0e5f79916cc6aff6dc8f02,0,Tasaheel,Inquiry,Non-Technical Issue,No,ok,Inquiry about loan request status (Tasaheel),عميل يستفسر عن حالة الطلب الخاصة به(اتقبل او اترفض)(Tasaheel),yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about loan request status (Tasaheel)
Question AR: عميل يستفسر عن حالة الطلب الخاصة به(اتقبل او اترفض)(Tasaheel)

Script:
عميل يستفسر عن حالة الطلب الخاصة به: (اتقبل او اترفض)
بعتذر لحضرتك بيكون غير واضح من خلالي بتقدر تشرفنا في الفرع تستفسر من خلاله عن حالة الطلب. 0
0 حضرتك الطلب کان مقدم في فرع ایه ؟
Escalated No
CRM: Inquiry-> -- >Inquiry about loan request status"
KB,1255,f6e0979bb6b7506e98c14e95b5196e86,0,Tasaheel,Inquiry,Non-Technical Issue,No,ok,Inquiry about May offer coins campaign (Tasaheel),أنا قدمت قبل 15 مايو، هل هدخل السحب؟,yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about May offer coins campaign (Tasaheel)
Question AR: أنا قدمت قبل 15 مايو، هل هدخل السحب؟

Script:
·
أنا قدمت قبل 15 مايو، هل هدخل السحب؟
للأسف، العملاء المؤهلين للدخول في السحب لازم يكونوا قدموا وصرفوا التمويل خلال فترة المسابقة فقط
المسابقة بتكون تحت إشراف وزارة التضامن الاجتماعي بترخيص رقم ٧٠ لسنة ٢٠٢٥
Tasaheel -> Inquiry -> Inquiry about May offer coins campaign"
KB,1256,524bbf8f08b45151b5eeeb361b98fc54,0,Tasaheel,Inquiry,Non-Technical Issue,No,ok,How I can participate (may offer),إزاي أشارك في المسابقة ؟,yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: How I can participate (may offer)
Question AR: إزاي أشارك في المسابقة ؟

Script:
إزاي أشارك فى المسابقة ؟
بمجرد ما حضرتك تقدم على التمويل من خلال الموقع الالكتروني او الابلكيشن وتصرفه خلال فترة المسابقة (من 15 مايو لـ 30يونيو) ، بيتم تسجيل اسمك تلقائيًا في السحب.
المسابقة بتكون تحت إشراف وزارة التضامن الاجتماعي بترخيص رقم ٧٠ لسنة ٢٠٢٥
Tasaheel -> Inquiry -> How I can participate"
KB,1257,241191da1b705a4494d3e1e7836fba85,0,Tasaheel,Inquiry,Non-Technical Issue,No,ok,How I can participate (may offer),هل لازم أعمل حاجة معينة علشان أشارك,yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: How I can participate (may offer)
Question AR: هل لازم أعمل حاجة معينة علشان أشارك

Script:
هل لازم أعمل حاجة معينة علشان أشارك ·
لا، مجرد التقديم من خلال الموقع الالكتروني او الابلكشين والصرف خلال فترة المسابقة كافي جدًا، ومفيش أي خطوات إضافية.
المسابقة بتكون تحت إشراف وزارة التضامن الاجتماعي بترخيص رقم ٧٠ لسنة ٢٠٢٥
Tasaheel -> Inquiry -> How I can participate"
KB,1258,abcc15b0347a510999d499dbad03f373,0,Tasaheel,Inquiry,Non-Technical Issue,No,skipped,May offer winners announcement (تساهيل),هتتواصلوا معايا إزاي لو كسبت؟,yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: May offer winners announcement (تساهيل)
Question AR: هتتواصلوا معايا إزاي لو كسبت؟

Script: (missing — answer.status=skipped)"
KB,1259,a59e239c629550109612dbea6f71175b,0,Tasaheel,Inquiry,Technical Issue,No,skipped,May offer winners announcement (تساهيل),إمتى هيتم السحب؟,yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: May offer winners announcement (تساهيل)
Question AR: إمتى هيتم السحب؟

Script: (missing — answer.status=skipped)"
KB,1260,56ef529af8a3595781e9c5b8d0063227,0,Tasaheel,Inquiry,Non-Technical Issue,No,ok,May offer terms and conditions,الشروط و الاحكام الخاصة بمسابقة تساهيل,yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: May offer terms and conditions
Question AR: الشروط و الاحكام الخاصة بمسابقة تساهيل

Script:
الشروط والاحكام:
• يشترك في المسابقة كل متسابق يقوم بالتقديم على التمويل من خلال القنوات الالكترونية ( الموقع الالكتروني او الابليكشن) فقط وليس فروع الشركة ويتم صرف التمويل ويشترط صرف التمويل خلال فترة المسابقة من يوم 15 مايو الي 30 يونيو.
يتم تسليم الجوائز للفائزين بموجب ايصال استلام يوضح به ( الاسم - العنوان - و رقم البطاقة سارية و صورة • منها).
•
بالنسبة للفائزين القصر يتم تسليم الجائزة لولي الأمر وترفق صورة شهادة الميلاد وبطاقة ولي الامر سارية.
• يتم الامضاء علي ايصال بالموافقة بتصوير الفائزين و استخدام الصور / الفيديو للاعلان عن الفائزين.
يحظر علي العاملين بالشركة او الاقارب.
Tasaheel -> Inquiry -> May offer terms and conditions"
KB,1274,93543a0414e5590f86a7c3aa25b243f3,0,Tasaheel,Inquiry,Non-Technical Issue,No,ok,Inquiry about May offer coins campaign (Tasaheel),ايه هي مسابقة تساهيل ؟,yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about May offer coins campaign (Tasaheel)
Question AR: ايه هي مسابقة تساهيل ؟

Script:
ايه هي المسابقة ؟
حضرتك ده سحب لعملاء تساهیل ل 30 فائزعلي 30 عمله ذهبيه , المسابقه متاحه للعملاء اللي هتقدم من خلال الموقع الالكتروني او الابلكيشن فقط ويتم الصرف في خلال فتره المسابقه (من 15 مايو 30 يونيو)، فور التقدم بيتم تسجيل اسم حضرتك تلقائيًا في السحب.
(مش من خلالنا) علما بأن لازم العميل يكون مقدم عن طريق الابليكشن او الموقع الالكتروني مش الفرع
المسابقة تحت إشراف وزارة التضامن الاجتماعي (بترخيص رقم ٧٠ لسنة ٢٠٢٥)
بإخطار من جهاز حماية المستهلك (رقم 166 لسنة 2025)
Tasaheel -> Inquiry -> Inquiry about May offer coins campaign"
KB,1331,f77b6de128195c5ab7468f29d13d0d59,0,Tasaheel,Inquiry,Technical Issue,No,ok,inquiry about personal loan (Tasaheel),استفسار عميل عن القرض الشخصي (Tasaheel),yes,"Vertical: Tasaheel | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: inquiry about personal loan (Tasaheel)
Question AR: استفسار عميل عن القرض الشخصي (Tasaheel)

Script:
استفسار عميل عن القرض الشخصى
Tasaheel -> Inquiry -> inquiry about personal loan
غیر متاح ف الوقت الحالي تمویل شخصي لکن يمكن للعميل استخدام التمويل الاستهلاكي او تمويل المشروعات في حالة وجود نشاط او تجارة او حرفة نشرح للعميل تفاصیل التمويل المناسب له |( سواء استهلاکی او مشروعات)"
