corpus_name,external_parent_id,chunk_id,chunk_index,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
KB,1118,12e8aac8ac2158ada71d0451a7d7e7e9,0,Commerce,Complain,Non-Technical Issue,Yes,ok,Canceled Order – Money Not Return to Halan Card,شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا,yes,"Vertical: Commerce | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Canceled Order – Money Not Return to Halan Card
Question AR: شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا

Script:
شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا:
Halan Gomla → Complaints related to Product
انا بعتذر جدا لحضرتك استأذنك ممكن توضح لى الرقم اللى حضرتك طلبت بيه.
هيتم التأكد من تفاصيل أوردر العميل.
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في 48 ساعة عمل.
- Escalation: Yes"
KB,1167,0a11cf7d525e5d63bc439b0bb5c925d7,0,Commerce,Complain,Non-Technical Issue,Yes,ok,Canceled Order – Money Not Return to Halan Card,شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا,yes,"Vertical: Commerce | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Canceled Order – Money Not Return to Halan Card
Question AR: شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا

Script:
شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا:
Halan Gomla → Complaints related to Product
انا بعتذر جدا لحضرتك استأذنك ممكن توضح لى الرقم اللى حضرتك طلبت بيه.
هيتم التأكد من تفاصيل أوردر العميل.
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في 48 ساعة عمل.
- Escalation: Yes"
KB,1211,381bf2aab84f581bb830955a3616e7f9,0,Commerce,Complain,Technical Issue,Yes,ok,Under Processing order Issue,Under processing عميل يشكو من أنه أتم عملية الشراء و العملية,yes,"Vertical: Commerce | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: Under Processing order Issue
Question AR: Under processing عميل يشكو من أنه أتم عملية الشراء و العملية

Script:
* عميل يشكو من أنه أتم عملية الشراء والعملية Under Processing:
Commerce -> inquiry -> Under Processing order Commerce -> complaint -> Tech -> Under Processing order Issue Escalation: Yes
- بنتأكد مع العميل انه لم يتم خصم اي مصاريف سواء من الحد الائتماني او من المحفظة او من الكريديت كارد وبنوضحله انه يعيد عملية الشراء مرة اخري.
ولو العميل أكد انه تم الخصم من الكريديت كارد او من المحفظة او الحد الائتماني .. هنقدم للعميل طلب و ۔ هيتم حل مشكلة العميل ف اقرب وقت.
لازم نزود رقم البطاقة وال Transaction ID في التيكت
لو الاوردر كريديت كارد و العميل وضح ان قيمة المنتج اتخصمت من رصيده .. لازم نطلب من العميل يبعتلنا صورة من رسالة الخصم اللي وصلتله علي رقم الواتساب بتاعنا."
KB,1358,c6de0258d9915cbdac290d68514f2d40,0,Commerce,Request,Technical Issue,No,ok,courier service (Halan),عميل يستفسرعن خدمات توصيل أو شحن حالاً (Halan),yes,"Vertical: Commerce | Type: Request | Issue: Technical Issue | Escalation: No

Question EN: courier service (Halan)
Question AR: عميل يستفسرعن خدمات توصيل أو شحن حالاً (Halan)

Script:
* عميل يستفسر عن خدمات توصيل أو شحن حالاً:
Halan-> request -> courier service request Halan -> inquiry -> inquiry about courier service request
-Escalation: No
بعتذر لحضرتك جدا الخدمة غير متوفرة"
KB,1393,5469db98717c5d279f87baebf1a2d242,0,Commerce,Complain,Non-Technical Issue,No,ok,Custom Fees (Halan),عميل يشكوا من وجود ضريبه بعد الشراء عن طريق تطبيق حالا (Halan),yes,"Vertical: Commerce | Type: Complain | Issue: Non-Technical Issue | Escalation: No

Question EN: Custom Fees (Halan)
Question AR: عميل يشكوا من وجود ضريبه بعد الشراء عن طريق تطبيق حالا (Halan)

Script:
عميل يشكوا من وجود ضريبه بعد الشراء عن طريق تطبيق حالا:
Commerce -> complain -> non-technical -> Custom Fees Escalation: No
لو العميل مشترى المنتج من ""2b أو 2000 Dream"" .. هنوضح للعميل انه يزور أقرب فرع للتاجر اللي اشترى منه مع الفاتورة الضريبية لحل المشكلة.
لو من علي تطبيق حالا او اي تاجر اخر :
هنعتذر للعميل و هيتم توضيح تقديم طلب وسيتم الرد خلال اقرب وقت ممكن
هناخد الداتا دي ونبعتها في ميل لليدر المتاح
1. Product sealed or unsealed.
2. Screen from Telephony app.
3. IMEI 1, 2.
4. Screen from NTRA SMS if customer received it.
Delivery Date
Order Date
Seller
Product name
Transaction ID
ID
Mobile
Name"
KB,1439,36c7592cbd995c33bfb7d14f8bdefc87,0,Commerce,Complain,Non-Technical Issue,Yes,ok,Canceled Order – Money Not Return to Halan Card,شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا,yes,"Vertical: Commerce | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Canceled Order – Money Not Return to Halan Card
Question AR: شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا

Script:
شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا:
Halan Gomla → Complaints related to Product
انا بعتذر جدا لحضرتك استأذنك ممكن توضح لى الرقم اللى حضرتك طلبت بيه.
هيتم التأكد من تفاصيل أوردر العميل.
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في 48 ساعة عمل.
- Escalation: Yes"
KB,1545,b2c563a0ac225d44a04df1ca8b50d6b1,0,Commerce,Request,Technical Issue,Yes,ok,Cancel purchased request (Halan),عميل يريد الغاء طلب الشراء و استرداد قيمة الطلب(و لم يتم التسليم) (Halan),yes,"Vertical: Commerce | Type: Request | Issue: Technical Issue | Escalation: Yes

Question EN: Cancel purchased request (Halan)
Question AR: عميل يريد الغاء طلب الشراء و استرداد قيمة الطلب(و لم يتم التسليم) (Halan)

Script:
عميل يريد الغاء طلب الشراء و استرداد قيمة الطلب (ولم يتم التسليم) :
- Commerce -> Request -> Cancel purchased request {CF / Cash }
- Commerce -> Request -> Cancel purchased request and return the amount to the wallet
Commerce -> Request -> Cancel Purchased from credit card (Not From CF)
- Escalation :Yes
مشتري من التاجر
ممكن اعرف من حضرتك ايه سبب الالقاء؟
مشتري من التطبيق
جـ
Purchased
Cash
هتقدم لحضرتك طلب وهيتم الغاء الطلب خلال يومين عمل
Proceed W/D
هتقدم لحضرتك طلب وهيتم الغاء الطلب و استرجاع الليمت في خلال 48 ساعة عمل
Purchased
CF
Proceed W/D
هتقدم لحضرتك طلب وهيتم الغاء الطلب خلال يومين عمل
هتقدم لحضرتك طلب وهيتم الغاء الطلب في خلال 24 ساعة عمل
هتقدم لحضرتك طلب وهيتم الغاء الطلب خلال يومين عمل
هيتم تقديم طلب الاسترجاع المبلغ خلال يومين عمل والمبلغ هيترد على الحساب في خلال 14 يوم عمل
هيتم تقديم طلب لاسترجاع المبلغ خلال يومين عمل و المبلغ هيترد علي الحساب في خلال 14 يوم عمل
Purchased
هتقدم لحضرتك طلب وهيتم الغاء الطلب خلال يومين عمل
هتقدم لحضرتك طلب وهيتم الغاء الطلب خلال يومين عمل
ملاحظات هامة:
لازم لما تكتسل تضيف رقم التيكت فى order notes
فى حاله أن العميل دفع أى أقساط ضرورة كتابة التفاصيل فى التيكت مع ذكر تم الدفع من خلال أيه.
في حالة ان العميل مصمم على طلبه: استاذن حضرتك بالرجوع للتاجر لمساعدة حضرتك.
Purchased
Wallet
Proceed W/D
Purchased
Credit Card/ Apple Pay
Proceed W/D
Halan Card
Proceed W/D
هتقدم لحضرتك طلب وهيتم الغاء الطلب في خلال 24 ساعة"
KB,1549,72ede800c7c35a2eac826fbfd14917a6,0,Commerce,Request,Technical Issue,Yes,ok,Tax invoice request,عميل يريد استلام فاتورة ضريبية,yes,"Vertical: Commerce | Type: Request | Issue: Technical Issue | Escalation: Yes

Question EN: Tax invoice request
Question AR: عميل يريد استلام فاتورة ضريبية

Script:
*عميل يريد استلام فاتورة ضريبية:
Commerce > request > Tax invoice request
لو ال Seller Halan : يومين عمل لو ال Seller اي تاجر تاني : 4 ايام عمل
طلب المنتج وتم تأكيد ميعاد الاستلام
لو الطلب Proceed with delivery
لو تم تأكيد الطلب هنوضح لللعميل اننا هنقدم طلب و ارسال الفاتورة
Escalation :Yes
لم يطلب المنتج ولم يتم تأكيد طلبه
لو الطلب لسة Purchased
بنوضح للعميل انه يطلبها من فريق التوصيل عند التواصل لتأكيد الطلب.
-Escalation :No"
KB,1608,df7c519c777159fb97eaec9445f5a230,0,Commerce,Request,Non-Technical Issue,Yes,ok,Return product request (Halan),عميل يريد استرجاع منتج (Halan),yes,"Vertical: Commerce | Type: Request | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Return product request (Halan)
Question AR: عميل يريد استرجاع منتج (Halan)

Script:
* عميل يريد استرجاع منتج:
مشتري من تطبيق حالاً
Commerce -> Request -> Return product request Escalation: Yes
ضرورة التأكد من الاتي وتوضيحه ف التكت:
۔
حضرتك تقدر ترجع المنتج في خلال 14 يوم وفقا لسياسات الاسترجاع .
التغليف (الكرتونة ) الخاصة بالمنتج كما هي سليمة وكذلك حالة المنتج.
لو الإرجاع بسبب عيب ف المنتج ضرورة إحضار ما يؤكد العيب من الضمان (تقرير شركة الضمان). ۔
لو طلب الإرجاع نتيجة لتغير رأي العميل في شراء المنتج (تبديل بشيء أخر - لا يحتاجه -... ) بيتم إضافة تكلفة التوصيل.
الإرجاع بيكون لمنتجات ال MDAs ( هي منتجات ثقيلة الوزن , مثل : الثلاجات - غسالات - بوتاجازات - مبرد مياه - فريزر- تليفزيونات - مکیف)
لا يوجد إرجاع لمنتجات ال SDAs ( موبايلات - تابلت - ساعات الكترونية ....... ) في حالة فتح علبة المنتج ""تم فك السلوفانه"" ۔
بناءً على سياسة الاستبدال والاسترجاع
=
لازم نأكد علي العميل يبعت صور وفيديو للمنتج لان مهلة الرد علي الطلب هتبدأ من وقت ارسال الصور والفيديو.
لازم نعرف منه سبب طلب الاسترجاع ونوضحه في التيكت بالتفصيل . -
انا هقدم طلب لحضرتك وهيتم التواصل مع حضرتك في خلال 7 أيام عمل لتنسيق عملية استرجاع المنتج من بعد ارسال ۔
الصور والفيديو.
ملاحظات مهمة
سبب الإرجاع هو ؟:
المنتج هو :-
المنتج خلال 14 یوم من وقت التسليم : --
حالة التغليف والمنتج :-----
أهل تقرير الضمان في حالة وجود عيب بالمنتج ؟ : -
لو العمیل محتاج يسترجع اوردر تم شراءه كاش .. قيمة الاوردر بیتم ردها عن طريق فوري في خلال 5 أيام عمل من تسليم المنتج ( بيوصل للعميل كود فوري يقدر من خلاله سحب الفلوس مجانا بدون اي مصاريف وكود السحب بيكون 7163)
لازم نوضح للعميل انه عند الرجوع للضمان لاستخراج تقرير بحالة المنتج (لو في عيب صناعة بالمنتج) لازم يكون مع العميل فاتورة ضريبية للمنتج.
مشتري من تاجر
استأذن حضرتك ترجع للتاجر"
KB,1609,bc95b5fa442252918243a4efe282a34d,0,Commerce,Request,Financial Issue,Yes,ok,Wrong Product (Halan),عميل أستلم منتج مختلف عن اللي قام بطلبه (Halan),yes,"Vertical: Commerce | Type: Request | Issue: Financial Issue | Escalation: Yes

Question EN: Wrong Product (Halan)
Question AR: عميل أستلم منتج مختلف عن اللي قام بطلبه (Halan)

Script:
عميل أستلم منتج مختلف عن اللى قام بطلبه:
Commerce <- Complaint <- Financial <- Wrong Product -Escalation: Yes
انا بعتذر لحضرتك تم تسجيل شكوى لفريق التوصيل وهيثم حل المشكلة مع حضرتك في خلال 7 أيام عمل.
لازم نأكد علي العميل يبعت صور وفيديو للمنتج لان مهلة الرد علي الطلب هتبدأ من وقت ارسال الصور والفيديو."
