corpus_name,external_parent_id,chunk_id,chunk_index,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
KB,1022,8f51547279a755a2919c1325a8205977,0,CF,Inquiry,Technical Issue,No,ok,Inquiry about Halan service,عميل يستفسر عن الخدمات التي تقدمها شركة حالا,yes,"Vertical: CF | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Inquiry about Halan service
Question AR: عميل يستفسر عن الخدمات التي تقدمها شركة حالا

Script:
* عميل يستفسر عن الخدمات التي تقدمها شركة حالا
Halan -> Inquiry -> Inquiry about halan service
تطبيق حالا هو تطبيق متكامل بيوفرلك كل احتياجاتك وتقدر تختار وسيلة الدفع اللي تناسبك زي:
حالا جمله: تقدر تشتري كل طلبات البيت بسعر الجملة ۔
حالا تحويش: تقدر تفتح حساب تحويش وتستفيد بأعلى عائد يومي في مصر. ۔ حالا جولد: تقدر تشتري دهب بالتقسيط على 12 شهر.
حالا للمدفوعات الالكترونية: تقدر تشحن فاتورة موبايلك -تدفع فواتير الكهرباء -المياه - التبرعات - حجز سفر -خدمات طبية - خدمات الدفع (تحصيل قرض لبنك الاسكندرية او قرض تساهيل أو اقساط حالا للتمويل الاستهلاكي)
۔
حالا جمعية : في المرحلة التجريبية
متجر حالا: تقدر من خلاله تشتري منتجات متعددة زى الاجهزة الكهربائية، الأثاث والموبايلات ومنتجات اخرى موجودة على ۔ ابليكيشن حالا
بالتعاون مع شركة تساهيل خدمة تمويل المشروعات ( تمويل يصل الي 5 مليون جنيه)
- خدمات التمويل:
خدمات التقسيط مع حالا لتمويل الافراد (تمويل مشتريات, تمويل تشطيبات , تمويل مصاريف التعليم)
۔
ألعاب حالا: تقدر تلعب كل يوم وتكسب لحد 1000 جنيه بيتضافوا علي محفظة حالا."
KB,1071,a19c80f405c452d1a2fe9e478d9b6a82,0,CF,Request,Technical Issue,Yes,ok,Request to decrease CF limit,عميل يريد تقليل مبلغ الحد الائتماني,yes,"Vertical: CF | Type: Request | Issue: Technical Issue | Escalation: Yes

Question EN: Request to decrease CF limit
Question AR: عميل يريد تقليل مبلغ الحد الائتماني

Script:
* عميل يريد تقليل مبلغ الحد الائتمانى 0
CF -> Request -> Request to decrease CF limit
Escalation : Yes
Instant Approval
فرع مشروعي أو تساهيل
سيتم تقديم طلب حضرتك ولو في امكانية هيتم تنفيذ طلبك بناءا على رد ادارة ۔ الائتمان في خلال 5 أيام عمل.
لازم نسأل العميل محتاج يقلل الليمت لمبلغ كام (مع العلم انه لا يمكن تقليل المبلغ - لرقم اكثر من المتبقي مع العميل .
بمعني انه لو العميل الليمت بتاعه 50 الف و العميل استخدم 30الف مش هينفع ان العميل يطلب يقلل الليمت اقل من ال30 الف
استأذنك ممكن ترجع للفرع اللي قدمت فيه الاوراق ولو في امكانية هيتم تنفيذ طلبك من قبل الفرع بناءا على رد ادارة الائتمان."
KB,1144,087567863a3b5d88871a905d1b161e7b,0,CF,Complain,Financial Issue,Yes,ok,Quality product,شكوى عميل من جودة المنتجات,yes,"Vertical: CF | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Quality product
Question AR: شكوى عميل من جودة المنتجات

Script:
• شكوى عميل من جودة المنتجات Quality product
Halan Gomla - Complaints related to Product
إستاذنك ممكن توضح لى الرقم التى حضرتك طلبت بيه
سيتم كتابة تفاصيل الشكوى بالكامل (رقم الاوردر -نوع المنتج - الكمية - التفاصيل بالكامل)
لو تم دفع ثمنه: بعتذر لحضرتك جداً هيتم رد ثمن المنتج لحضرتك ع المحفظة ف خلال ساعة ومعاه مبلغ ع المحفظة كاعتذار مننا لو لم يتم دفع ثمنه: هينزل لحضرتك مبلغ اعتذار ع المحفظة ( ......... ) ف خلال ساعة
في الحالة دفع ثمنه: أستاذن حضرتك ممكن يتم ارسال صوره بالمشكله الموجوده فى المنتج ورقم الموبايل التي عمل الأوردر بيه حضرتك تقدر تبعت الصور على رقم الواتس اب 20216303+ على مدار اليوم لمساعدتنا فى عدم تكرار المشكله مره أخرى أو حضرتك مبعتش الصور هيتم الغاء الشكوى فى نهاية اليوم
أو المنتج أكثر من 100 جنيه ل 300 فيها فوق جنيه للس جوده التسليم وان في مندوب هيجى يستلم منه المنتج والمبلغ هيترد على الاحد الائتماني ف خلال 48 ساعة عمل ( معادا يوم الجمعة والسبت والاجازات الرسمية)
ف حاله CFJ والمنتج أزيد من 100 جنيه هنترد علي الاحد الائتماني ف خلال 48 ساعة عمل (معادا الجمعة والسبت والإجازات الرسمية) لو اقل من 100 جنيه هيترد للعميل علي المحفظه ف خلال ساعه + مبلغ اعتذار + مبلغ بنسبه الفايدة ع المنتج
(Escalation needed: Yes) بتقدر تستخدم المحفظة ف الطلب مرة أخري أو في شحن فاتورة بوبايلك او اى رقم اخر او تدفع فواتير الكهرباء والمياه أو التبرعات او حجز سفر ورحلات (جوباص -بلوياص - مصر للطيران) أو خدمات طبية أو خدمات الدفع (تحصيل قرض لبنك الاسكندرية او قرض تساهيل)
عميل حالا جمله طالب اوردر ومكتوب كرديت كارد بتسأل العميل حضرتك دافع من الكرديت كارد ولا من كارت حالا قال كارت حالا طب با من الأ، ولا حضرتك اللي عملت إبداع للفلوس ويتكتب ١٥ ف التكيت ولو of بتمشي زي ال cf اكثر من 100 هيرجع على الاحد الائتماني لو اقل من 100 هيرجع على المحفظه لو العميل هو اللي عمل إبداع للفلوس بتهتدل العميل المبلغ ينزل على المحفظة
حضرتك حايب المبلغ ينزل على المحفظه ولا على الكرديت كارد او كارت حالا شباب حالا جمله عميل credit card - cf عدي عليهم ال 48 ساعة ومعملش شكوى ف خلال المدة المحددة يتقدم لي الشكوي عادي ويناكد علي العميل ان هو بعد كده يكلمنا ف خلال 48 ساعة ل حل المشكلة أسرع ومساعدته"
KB,1144,924be4da9d3957d3b6fb292b1949c0b3,1,CF,Complain,Financial Issue,Yes,ok,Quality product,شكوى عميل من جودة المنتجات,yes,"Vertical: CF | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Quality product
Question AR: شكوى عميل من جودة المنتجات

Script:
ت حالا شباب حالا جمله عميل credit card - cf عدي عليهم ال 48 ساعة ومعملش شكوى ف خلال المدة المحددة يتقدم لي الشكوي عادي ويناكد علي العميل ان هو بعد كده يكلمنا ف خلال 48 ساعة ل حل المشكلة أسرع ومساعدته
الكاش لا لان المفروض العميل بيراجع الاوردر بتاعه قبل ما يستلم وييخصم من الفاتورة تمن المنتاجات اللي موصلتش
ملاحظة هامة
- مراجعة وجود تقت سابقة للعميل على السيستم لنفس إستفسار أو طلب العميل:
فى حالة وجودها.
التأكد من أن التكت خاصة بخدمة العملاء وليس أي قسم أحر مثل (قسم النكنتج .... }. - إضافة تحديث (ملاحظات - تعليقات) بالتفاصيل. - فى حالة وجود أى الحديث (ملاحظات ، تعليقات) سابق ضرورة التأكد من مرور 24 ساعة عمل (إن لم يعر 24 ساعة عمل عدم إضافة أي تطبق وعمل مكت (Ticket: (sacalation needed: NO]
- عمل submit لتتكت على نفس الحالة الموجودة وعدم تغيير الحالة لاي سيب - عمل تقت أخرى بتفاصيل الحالة (Ticket: (escalation needed: NO
فى حالة عدم بوجودها
Ticket: (escalation needed 'ves)"
KB,1192,6ada5073e7cc5dabbc199c82acd71b95,0,CF,Request,Non-Technical Issue,No,ok,Request to increase CF limit (Halan),عميل يريد زيادة مبلغ الحد الائتماني(Halan),yes,"Vertical: CF | Type: Request | Issue: Non-Technical Issue | Escalation: No

Question EN: Request to increase CF limit (Halan)
Question AR: عميل يريد زيادة مبلغ الحد الائتماني(Halan)

Script:
* عميل يريد زيادة مبلغ الحد الائتمانى •
CF -> Request -> Request to increase CF limit
-Escalation: No
نتأكد من CRM العميل مكود علي فرع اية :
Instant Approval
بالنسبة لزيادة الحد الائتمانى: شركة حالاً بتدرس الحالة الائتمانية لكل العملاء كل شهر وبيتم زيادة الحد الائتماني بناءً علي الانتظام في السداد مع ضرورة التأكيد على مرور 6 اقساط .. وبيوصل رسالة بقيمة الحد الائتماني الجديد.
Today 4:28 PM
عميل حالاً المميز تم زيادة حدك الائتماني المبلغ !32000
bit.ly/45c3nKe
فرع مشروعي أو تساهيل
- استأذنك ممكن ترجع للفرع اللي قدمت فيه الاوراق ولو في امكانية هيتم تنفيذ طلبك من قبل الفرع بناءا على رد ادارة الائتمان.
ضرورة التأكيد على مرور 6 اقساط ="
KB,1215,19485d4066535cfa927d11181c0f47dd,0,CF,Complain,Technical Issue,Yes,ok,Cash Back Offer Not Applied (Halan),عميل يشكو ان الكاش باك لم يتم استقباله بعد المعامله (Halan),yes,"Vertical: CF | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: Cash Back Offer Not Applied (Halan)
Question AR: عميل يشكو ان الكاش باك لم يتم استقباله بعد المعامله (Halan)

Script:
عميل يشكو ان الكاش باك لم يتم استقباله بعد المعامله
Cash Back Offer Not Applied
ايه هى شروط الاستفاده بالكاش باك ؟
Halan-> Complain Non-Technical-> Cash Back Not Applied
1. لازم العميل يكون مشتري من الحد الائتماني مش من الكارت.
.2 لازم العميل يكون اختار فترة التقسيط الخاصة بالاوفر.
3. لازم العميل يكون مشتري في الوقت المحدد للأوفر .
4. لو العميل مشتري من خلال تاجر لازم نتأكد انه مشتري من خلال الفروع الموضحه في الشيت الخاص بالعروض.
5. ولازم نتأكد من الادمن تول ان الكاش باك منزلوش.
ولو اتأكدنا ان العميل فعلا ليه كاش باك (من الادمن تول) ومنزلش بنعمل التيكت ديه ونقول للعميل شغالين على حل المشكله.
Halan-> Complain Non-Technical-> Cash Back Not Applied
Escalated : Yes"
KB,1216,6deca3d971e85a1ba3656cec93e84749,0,CF,Inquiry,Technical Issue,No,ok,inquiry about the possibility of purchasing using cf and completes it in cash (Halan),عميل بيستفسر عن امكانيه الشراء من خلال الحد الائتماني و استكمال بالكاش (Halan),yes,"Vertical: CF | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: inquiry about the possibility of purchasing using cf and completes it in cash (Halan)
Question AR: عميل بيستفسر عن امكانيه الشراء من خلال الحد الائتماني و استكمال بالكاش (Halan)

Script:
عميل بيستفسر عن امكانيه الشراء من خلال الحد الائتماني و استكمال بالكاش
inquiry about the possibility of purchasing using cf and completes it in cash
بالنسبة لإمكانية ان العميل يقدر يكمل كاش خارج العروض:
العميل يقدر يشتري اي منتج من خلال تطبيق حالا ويكمل كاش .. بشرط ان المنتج ميكونش عليه عرض وبيدفع فرق الكاش للمندوب عند استلام المنتج.
بالنسبة لإمكانية ان العميل يقدر يكمل كاش فى العروض:
1- لو عرض (interest 0% - Triple Q) لو العميل هيشتري offline من خلال التاجر .. هيقدر يكمل كاش عادي و العرض هيكون ع الجزء اللي هيدفعه بالليمت.
2- اي عروض فيها discount .. العميل يقدر يستفسر عن امكانية انه يكمل كاش عن طريق التاجر. Screen shoot من المشكله.
3- موضوع انه يكمل كاش دا متاح فقط عن طريق التجار offline بس مش online (كايرو كارت بس ممكن العميل يكمل كاش حتي لو اونلاين).
4- لو العرض علي الابلكيشن عندنا مش هيكون متاح يكمل كاش ( العروض بتبقي في قسم العروض فقط على التطبيق
CF -> Inquiry ->Inquiry about Promotions"
KB,1219,936aa5cbc9da506db28681c83d77e3d7,0,CF,Complain,Non-Technical Issue,No,ok,Instant Approval Customer Didn't Receive Payment Code (Halan),عميل الحد الائتماني الفوري لم يستلم رسالة كود العميل,yes,"Vertical: CF | Type: Complain | Issue: Non-Technical Issue | Escalation: No

Question EN: Instant Approval Customer Didn't Receive Payment Code (Halan)
Question AR: عميل الحد الائتماني الفوري لم يستلم رسالة كود العميل

Script:
عميل الحد الائتماني الفوري لم يستلم رسالة كود العميل:
بنوضح للعميل انه دلوقتي لو حابب يدفع الاقساط مش هيحتاج كود العميل. الدفع هيكون بالرقم المسجل معانا لو بالرقم القومي.
- Escalation: No
- CRM: CF ← Complaint ← Non-Technical ← Instant Approval Customer Didn't Receive Payment Code"
KB,1262,ec024d001fb2508bbb12e623dc997168,0,CF,Inquiry,Non-Technical Issue,No,ok,Inquiry about Family program,Family Programإيه هو الـ,yes,"Vertical: CF | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about Family program
Question AR: Family Programإيه هو الـ

Script:
إيه هو الـ Family Program ؟
برنامج Family Program هو خدمة جديدة بتقدّمها شركة حالا ، بتسمح لأي عميل عنده الحد الائتماني إنه يدعو اي قريب من الدرجة الأولي ليه (بحد اقصى شخص واحد فقط انه ينزله حد ائتماني - بنسبة لا تقل عن 50% - من الحد الائتماني الخاص بالعميل (بدون ما يتخصم حاجة من ليميت العميل الاساسي).
يعني لو عندك تمويل متاح من حالا ، تقدر تدي فرصة لحد من أهلك (الأب، الأم، الأخ، الأخت، الابن، أو الابنة) إنه يقدم على تمويل.
التقديم بيتم بشكل سهل من خلال لينك بيجيلك، بتدخل عليه بيانات القريب اللي حابب تضيفه. وبمجرد ما يتم التأكيد، بيقدر يروح أقرب فرع لتوقيع الطلب.
CF-> Inquiry -> Inquiry about Family program"
KB,1264,6ba1d4680bb5503cbc0cef8e59a9b3c0,0,CF,Inquiry,Technical Issue,No,ok,Inquiry about Family program,مين ينفع أضمه في البرنامج؟ (Family program),yes,"Vertical: CF | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Inquiry about Family program
Question AR: مين ينفع أضمه في البرنامج؟ (Family program)

Script:
مين ينفع أضمه فى البرنامج؟
أي قريب من درجة القرابة الأولى:الأب، الأم، الأخ، الأخت، الابن، أو الابنة.
CF-> Inquiry -> Inquiry about Family program"
