corpus_name,external_parent_id,chunk_id,chunk_index,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
KB,1771,60b34be919075e89b37cfb89734c6ab9,0,Halan,Inquiry,Non-Technical Issue,No,ok,Customer Verification Rules,قواعد مراجعة بيانات عميل كارت حالا,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Customer Verification Rules
Question AR: قواعد مراجعة بيانات عميل كارت حالا

Script:
يجب مراجعة البيانات مع عميل كارت حالا في الحالات الآتية وطبعا لازم يكون العميل بنفسه اللي بيتواصل معانا:
1. في حالة توضيح أي معلومات خاصة بالكارت نفسه.
2. في حالة تقديم شكوى للعميل.
3. في حالة متابعة الشكاوى.
4. في حالة اتخاذ أي أكشن او اجراء للعميل.
5. في حالة تقديم طلب للعميل.

البيانات التي يتم مراجعتها مع العملاء في الحالات السابقة: (الأساسية)
- نفس رقم الهاتف المفعل بيه الكارت.
- الرقم القومي.
- الاسم ثلاثي.

أما الآتي فيجب على العميل الاجابة على 2 من أصل 4 اسئلة: (الاضافية)
- اخر أربع ارقام من الكارت.
- اخر عملية ناجحة، حتى لو تحويل ليميت قيمتها كام او تاريخها امتی.
- رصيد الكارت الحالي.
- العنوان المذكور على البطاقة الشخصية
 وفي حالة ان العميل وضح بيانات غلط اثناء أي نقطة اضافية، سيتم سؤاله عن اخرى. وإذا لم ينجح، سيتم التوضيح في النهاية ان البيانات غير متطابقة مع مراعاة عدم توضيح معلومات عن الجزء الخطأ.
لكن لو استفسار العميل عن أي استفسار عام لا يتم مراجعة البيانات ويتم توضيح الاستفسار بشكل كامل. مثال ايه هوا کارت حالا / رسوم استلام الكارت / طريقة تفعيل الكارت.....

ترتيب استكمال طلب الحصول على الكارت:
1- فروع Circle K
2- المولات
3- باقى نقاط التفعيل
4- فروع تساهيل اللى موجودة في الشيت (فروع متشطبة)
5- باقي فروع تساهيل
- Escalation: No
- CRM: Halan → Inquiry → Verification Rules"
KB,1772,e4466a7249025ee8b7972f558dc3a1d5,0,Halan,Inquiry,Non-Technical Issue,No,ok,Inquiry about Halan Card,عميل بيستفسر عن ما هو كارت حالا او الفرق بين كارت حالا وباقي الكروت البنكية,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about Halan Card
Question AR: عميل بيستفسر عن ما هو كارت حالا او الفرق بين كارت حالا وباقي الكروت البنكية

Script:
کارت حالا هو كارت مدفوعات بتقدر تستخدمه في أكثر من استخدام
تقدر تعمل ايداع او سحب منه فلوس خاصة بحضرتك عن طريق ماكينات الصراف الآلي او ماكينات فوري
او تقدر تستخدمه ككارت مشتريات عن طريق ان حضرتك تقدم على حالا كريديت ( رصيد مشتريات ) او لو لديك رصيد مشتريات
وحالا كريديت : هو رصيد تقسيط بينزل لحضرتك على تطبيق حالا تقدر تشتري منه من على التطبيق أو من خلال التجار المتعاقدة مع حالا
ولو حضرتك حبيت تشتري من اي مكان داخل مصر مش شرط متعاقد مع حالا تقدر تحول حالا كريديت من التطبيق للكارت وتستخدمه عند اي تاجر مش شرط يكون متعاقد مع حالا من خلال ماكينة POS او الدفع في كل المواقع المصرية اونلاين .
ومش بيكون في رسوم سنوية علي الكارت
تحب اوضح لحضرتك ازاي تقدر تقدم علي كارت حالا ؟
لو العميل وافق هيتم توضيح خطوات التقديم علي الكارت بالكامل
ولو العميل هيعمل الكارت لابد من سؤال العميل هيتوجه لفرع ايه للاختيار في التيكت الفرع اللي هيتوجه ليه
- Escalation: No
- CRM: Halan Card → Inquiry → Inquiry about Halan Card"
KB,1773,84ab6e15e61552a7bc8fd780ecd01b28,0,Halan,Inquiry,Non-Technical Issue,No,ok,Inquiry about Halan Card Activation Process,عميل بيستفسر عن خطوات تفعيل كارت حالا,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about Halan Card Activation Process
Question AR: عميل بيستفسر عن خطوات تفعيل كارت حالا

Script:
حضرتك بتقدم على الكارت من خلال الأبلكيشن
بتدخل على كارت حالا وتضغط على طلب كارت هيطلب من حضرتك الاسم رباعي والرقم القومي، وبعدها هيظهر لحضرتك أقرب فروع ليك لاستكمال طلب الحصول على الكارت...
يجب ان تكون بطاقة حضرتك سارية وغير تالفة.
حضرتك بتستلم الكارت في ظرف مغلق وبتستخدم تطبيق حالا لإستخدام الكارت والتعامل عليه.
تحب اوضح لحضرتك عنوان اقرب فرع ؟
لو العميل وافق هيتم التوضيح للعميل عنوان اقرب فرع هنمشي بالتريبت ده واحنا بنوجه العميل للفروع :-
1- فروع Circle K
2- المولات
3- باقي نقاط التفعيل
4- فروع تساهيل اللي موجودة في الشيت (فروع متشطبة)
5- باقي فروع تساهيل

وحابب اوضح لحضرتك انك بعد متستلم الكارت من الفرع هتفتح تطبيق حالا وتختار كارت حالا عشان تعين من خلاله كلمات سر الكارت
هتعين اولا كلمة سر 6 ارقام وديه بتكون كلمة السر الكارت على التطبيق تكون غير متتالية وغير متشابهة
وبعدها هتعين كلمة سر مكونة من 4 ارقام وديه بتكون كلمة سر الكارت عند السحب او الشراء من ATM او POS وتكون غير متتالية او متشابهة

في حالة سؤال العميل عن ميعاد استلام الكارت:
- لو العميل هيتوجه لموافقة فورية هيتم التوضيح انه في نفس اليوم.
- لو العميل هيتوجه لفرع تساهيل هيتم التوضيح ان الفرع هو اللي هيوضح لحضرتك

في حالة سؤال العميل عن السن:
أقل سن للعميل يكون 15 سنة علشان يعمل كارت. لكن لو العميل هيفعل حد ائتماني ف اقل سن بيكون 21 سنة.
- Escalation: No
- CRM: Halan Card → Inquiry → Inquiry about Halan Card Activation Process"
KB,1774,aad5bbea11895b80bdadaa68b2e71fce,0,Halan,Inquiry,Non-Technical Issue,No,ok,Inquiry about Halan Card limits,عميل بيستفسر عن ما هي حدود معاملات الكارت,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about Halan Card limits
Question AR: عميل بيستفسر عن ما هي حدود معاملات الكارت

Script:
هيتم المعرفة اذا كان العميل عنده كارت حالا اما لا
في حالة عنده كارت حالا هيتم اتباع هذه الخطوات:
- هيتم مراجعة الاسم ثلاثي والرقم القومي ويكون متواصل من نفس الرقم اما الاتي فيجب علي العميل الاجابة علي 2 من اصل 4 اسئلة ( اخر اربع ارقام من الكارت / العنوان في البطاقه الشخصية / اخر عملية ناجحة علي الكارت / رصيد الكارت الحالي )
- هيتم رؤية نظام الليمت الخاص بالعميل من البورتال هل هو Semi-KYC ام Non-KYC وبعدها هيتم التوضيح للعميل الليمت الخاص به:

| Limits | Non-KYC | Semi-KYC |
| :--- | :--- | :--- |
| الحد اليومي للشراء Daily Purchase Limit | 50,000 | 60,000 |
| الحد الشهري للشراء Monthly Purchase Limit | 160,000 | 200,000 |
| الحد اليومي للشراء اونلاين Daily Online Purchase Limit | 50,000 | 50,000 |
| الحد الشهري للشراء اونلاين Monthly Online Purchase Limit | 160,000 | 160,000 |
| الحد اليومي للسحب كاش Daily Cash Withdrawal Limit | 30,000 | 30,000 |
| الحد الشهري للسحب كاش Monthly Cash Withdrawal Limit | 160,000 | 200,000 |
| الحد اليومي للإيداع كاش Daily Cash Deposit Limit | 30,000 | 30,000 |
| الحد الشهري للإيداع كاش Monthly Cash Deposit Limit | 160,000 | 200,000 |
| الحد اليومي للاستخدام على POS Daily POS Usage Counter | مرة 20 | مرة 30 |
| الحد الشهري للاستخدام على POS Monthly POS Usage Counter | 100 مرة | 150 مرة |

ولابد من التوضيح بعد توضيح الجدول للعميل ان نوضح في حالة الايداع من خلال InstaPay يكون الليميت راجع الى الحد اليومي بالنسبة ل InstaPay
وفي حالة العميل لا يملك كارت حالا وبيسأل قبل ميعمل الكارت عن ليمت الكارت: هيتم التوضيح للعميل اقل ليمت وهو Non KYC
- Escalation: No
- CRM: Halan Card → Inquiry → Inquiry about Halan Card limits"
KB,1775,739981a5a83f5607a24c157694c0aaf2,0,Halan,Inquiry,Non-Technical Issue,No,ok,where can I purchase through Halan Card,عميل يستفسر ازاي استخدم كارت حالا في الشراء,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: where can I purchase through Halan Card
Question AR: عميل يستفسر ازاي استخدم كارت حالا في الشراء

Script:
حضرتك تقدر تستخدم كارت حالا عند اماكن الشراء داخل مصر ( اي تاجر لديه POS ) .
او حضرتك تقدر تشتري اونلاين من كل المواقع المصرية.
او تقدر تشتري بيه من على أبلكيشن حالا من خلال حالا جملة أو الأجهزة الكهربائية او شحن رصيد او يدفع فواتير (بدون مصاريف) او يدفع أقساط لا يمكن دفعها عن طريق (Credit on Card)

في حالة سؤال العميل عن كيفية الشراء بالكارت على تطبيق حالا هيتم التوضيح هذه الخطوات:
1. بنختار المنتج ونضيقه في عربة التسوق.
2. نضغط شراء ونختار وسيلة الدفع ""كارت حالا"" لابد من وجود مبلغ العملية على الكارت
3. بعدها تأكيد الشراء وبندخل باسورد الكارت ""6 أرقام""

ملحوظة : عند الشراء بكارت حالا علي تطبيق حالا بيطلب كتابة باسورد 6 ارقام الخاصة بالكارت علي التطبيق
وعند الشراء بكارت حالا من خلال اي موقع اونلاين داخل مصر الشراء بيتم عن طريق ارسال OTP للعميل لاتمام عملية الشراء اونلاين
- Escalation: No
- CRM: Halan Card → Inquiry → where can I purchase through Halan Card"
KB,1776,55c7bccdd6c85b968afb5aac2923e8d3,0,Halan,Inquiry,Non-Technical Issue,No,ok,Inquiry about how to link Halan Card with Halan account,عميل يستفسر ازاي اربط كارت حالا على حسابي في تطبيق حالا,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about how to link Halan Card with Halan account
Question AR: عميل يستفسر ازاي اربط كارت حالا على حسابي في تطبيق حالا

Script:
کارت حالا هيتم ربطه تلقائيا بحساب حضرتك في تطبيق حالا طالما حضرتك بتستخدم نفس رقم الموبايل في الحسابين.
- Escalation: No
- CRM: Halan Card → Inquiry → Inquiry about how to link Halan Card with Halan account"
KB,1777,c1cb363e8fb25c288fb111f556c4416b,0,Halan,Inquiry,Non-Technical Issue,No,ok,Inquiry about Halan card App/ATM Passwords,عميل يستعلم عن الفرق بين كلمة السر الخاصة بالكارت وكلمة السر الخاصة بالكارت على التطبيق,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about Halan card App/ATM Passwords
Question AR: عميل يستعلم عن الفرق بين كلمة السر الخاصة بالكارت وكلمة السر الخاصة بالكارت على التطبيق

Script:
كلمة السر الخاصة بالكارت على التطبيق دي بتكون كلمة سر الحماية معاملات حضرتك وبتكون مكونة من 6 ارقام.
كلمة السر الخاصة بالكارت بتكون مكونة من 4 ارقام حضرتك بتستخدمها وقت عمليات الشراء او السحب والايداع وبتقوم ب انشاءها او تغييرها من التطبيق داخل ""كارت حالا"".
- Escalation: No
- CRM: Halan Card → Inquiry → Inquiry about Halan card App/ATM Passwords"
KB,1778,1dc7dfb62b835465aac23f7fa80492c2,0,Halan,Inquiry,Non-Technical Issue,No,ok,Inquiry about card status,عميل يستفسر عن حالة الكارت,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about card status
Question AR: عميل يستفسر عن حالة الكارت

Script:
هيتم مراجعة الاسم ثلاثي والرقم القومي ويكون متواصل من نفس الرقم اما الاتي فيجب على العميل الاجابة علي 2 من اصل 4 اسئلة ( اخر اربع ارقام من الكارت / العنوان في البطاقه الشخصية / اخر عملية ناجحة علي الكارت / رصيد الكارت الحالي)
يتم التوضيح للعميل حالة الكارت الخاصة به وإذا كان مفعل ام لا.
- Escalation: No
- CRM: Halan Card → Inquiry → Inquiry about card status"
KB,1783,a8a2d776c9825f548b4cea529e77e549,0,Halan,Inquiry,Non-Technical Issue,No,ok,Inquiry about Halan card Activation Fees,عميل يستعلم عن مصاريف اصدار الكارت لأول مرة,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about Halan card Activation Fees
Question AR: عميل يستعلم عن مصاريف اصدار الكارت لأول مرة

Script:
الفرع بيوضحها لحضرتك
- Escalation: No
- CRM: Halan Card → Inquiry → Inquiry about Halan card Activation Fees"
KB,1787,c9805d526ce354918a90de460644bfcb,0,Halan,Inquiry,Non-Technical Issue,No,ok,Inquiry about changing mobile number,عميل بيستفسر عن طريقة تغيير رقم الموبايل المسجل به کارت حالا,yes,"Vertical: Halan | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Inquiry about changing mobile number
Question AR: عميل بيستفسر عن طريقة تغيير رقم الموبايل المسجل به کارت حالا

Script:
بيتم اخذ الرقم القومي ومعرفة العميل مكود في فرع ايه من CRM مع عدم توضيح اي بيانات تخص العميل علي الكارت الا في حالة مراجعة كل بيانات بورتال كارت ( ولو هنوضح للعميل أي معلومة تخصه لابد ان نراجع بيانات الكارت بالكامل )

لو العميل متكود موافقة فورية ( CRM / Credit Scoring ):
حضرتك بتتوجه لفرع موجود فيه مندوب حالا، وبتشرفنا بالاتصال من داخل الفرع لتقديم الطلب من خلالنا والفرع هيقدم لحضرتك استمارة تحديث بيانات جديدة (KYC) وهتستقبل كود تفعيل على الرقم الجديد. وحضرتك تقدر تتأكد بعدها من تغيير الرقم لما تدخل على أبلكيشن حالا بالرقم الجديد بعد تأكيد موظف الفرع على التغيير (ولابد من توجيه العميل الي فروع موافقة فورية فقط)

لو العميل متكود فروع من CRM (Branch):
حضرتك بتتوجه لفرع تساهيل والفرع هيقدم لحضرتك استمارة تحديث بيانات جديدة (KYC) وهتستقبل كود تفعيل على الرقم الجديد. وحضرتك تقدر تتأكد بعدها من تغيير الرقم لما تدخل على أبلكيشن حالا بالرقم الجديد بعد تأكيد موظف الفرع على التغيير (ولابد من توجيه العميل الي فرع تساهيل فقط)

ملحوظة: احنا بنقدم الطلب لعملاء الموافقة الفورية فقط ولازم يكونوا داخل الفرع انما عملاء مشروعي وتساهيل بيتم توجيههم للفرع الخاص بهم.
- Escalation: No
- CRM: Halan Card → Inquiry → Inquiry about changing mobile number"
