corpus_name,external_parent_id,chunk_id,chunk_index,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
KB,1091,cc316ed2a48856db89718be879a41951,0,Pay,Request,Non-Technical Issue,Yes,ok,Employee wants to activate lending salary service,موظف يريد تفعيل خدمة الراتب المبكر,yes,"Vertical: Pay | Type: Request | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Employee wants to activate lending salary service
Question AR: موظف يريد تفعيل خدمة الراتب المبكر

Script:
*موظف يريد تفعيل خدمة الراتب المبكر:
Pay -> Request -> Employee wants to activate lending salary service
Escalation:Yes
هيتم تقديم طلب للقسم المختص وهيتم التواصل مع حضرتك خلال 48 ساعة عمل . ناخد بيانات العميل الاسم والرقم و الرقم الوظيفي و اسم الشركة. لو مضي العقد هنوضحله ان التفعيل بيكون خلال 48 ساعة عمل ..
في حالة العميل موظف في (حالا - مشروعي - تساهيل - طلبية) التقديم بيكون من خلال HR"
KB,1142,713de3de66695cafbba539c17c8e48ae,0,Pay,Inquiry,Technical Issue,No,ok,Inquiry about Salary lending,عميل بيستفير عن الحد الاقصي للعمليات في نفس الشهر (كام سلفة يقدر يطلبها ف نفس الوقت),yes,"Vertical: Pay | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Inquiry about Salary lending
Question AR: عميل بيستفير عن الحد الاقصي للعمليات في نفس الشهر (كام سلفة يقدر يطلبها ف نفس الوقت)

Script:
* عميل بيستفير عن الحد الاقصى للعمليات في نفس الشهر (كام سلفة يقدر يطلبها ف نفس الوقت)؟
Pay <- Inquiry <- Inquiry about Salary lending
هنوضح للعميل انه يقدر يسحب لحد 30 عملية (سلفة) في نفس الوقت ولو هيحتاج عمليات تاني لازم يسدد من ال30 اللي ساحبهم الاول."
KB,1157,ec3dc027f3c85107b87f8c929b8ed8e5,0,Pay,Request,Technical Issue,No,ok,Increase Salary Lending Amount,عميل يطلب زيادة قيمة الراتب المبكر,yes,"Vertical: Pay | Type: Request | Issue: Technical Issue | Escalation: No

Question EN: Increase Salary Lending Amount
Question AR: عميل يطلب زيادة قيمة الراتب المبكر

Script:
عميل يطلب زيادة قيمة الراتب المبكر:
Pay -> Request -> Increase Salary Lending Amount
Escalation: No
فى حالة طلب العميل زيادة فى قيمة الراتب المبكر : بنوضح للعميل يرجع لقسم الموراد البشرية (HR) وبيتم ارسال طلب من خلالهم لموظف شركة حالا المسؤل عن شركته .. ما عدا (غبور) هيتم تقديم طلب للعميل Escalation: Yes
بالنسبة لموظفين شركة العربي فقط هنقول : لو العميل مفعل الخدمه مع شركات تانيه لازم يقفل المديونية معاهم وبعدها بيقدم طلب زيادة الليمت من خلال ال HR"
KB,1205,3f9c58ec29045617b7043ae2ab34d1db,0,Pay,Complain,Technical Issue,Yes,ok,OTP not received (Salary lending),لاتمام نزول السلفة OTP  شكوي عميل من عدم استقبال,yes,"Vertical: Pay | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: OTP not received (Salary lending)
Question AR: لاتمام نزول السلفة OTP  شكوي عميل من عدم استقبال

Script:
*شكوى عميل من عدم استقبال OTP لاتمام نزول السلفة:
Pay -> complaint -> technical -> OTP not received
Escalation:Yes
.1
لازم نتأكد مع العمیل ان في مساحة کفایة بالموبایل لاستقبال الرسالة
2. لازم نتأكد ان رقم الموبايل المتعاقد به هو نفس الرقم اللي سيستقبل عليه الرسالة لازم نأكد ع العمیل انه بیکتب ال otp مش بيعمله (نسخ -Copy) و یکون بیکتبه بالانجليزي مش بالعربي. .3
في بعض الأوقات بتوصل في قايمة Spam او block .4
5. التأكد من ان العميل لم يقوم بعمل اكثر من 30 سلفة غير مسدده علي السيستم ثم التأكد من ان العميل يدخل الرقم باللغة الانجليزية كتابة وليس نسخ ولصق
في حالة تأكيد العميل
هيتم تقديم طلب لحضرتك وهيتم التواصل خلال 24 ساعة عمل , ناخد بيانات العميل الاسم والرقم و الرقم الوظيفي و اسم الشركة"
KB,1209,78c1ee7514355e64b7eab282c6147c87,0,Pay,Complain,Financial Issue,No,ok,Installment deducted from salary but didn't appear on app,عميل يشكوا ان القسط اتخصم من المرتب و لم يتم السداد علي التطبيق,yes,"Vertical: Pay | Type: Complain | Issue: Financial Issue | Escalation: No

Question EN: Installment deducted from salary but didn't appear on app
Question AR: عميل يشكوا ان القسط اتخصم من المرتب و لم يتم السداد علي التطبيق

Script:
عميل يشكوا ان القسط اتخصم من المرتب و لم يتم السداد على التطبيق:
بنوضح للعميل ان لم يتم التحويل من طرف شركتكم لتسوية المديونية و بمجرد استلام التسوية من شركتكم سيتم السداد علي التطبيق.
ملحوظة هامه: مش بنقول للعميل يرجع للـ HR.
- Escalation: No
- CRM: Pay → Complaint → Financial → installment deducted from salary but didn't appear on app"
KB,1275,da1d61352b2c5a17a8519ae539aba896,0,Pay,Request,Non-Technical Issue,Yes,ok,Employee wants to deactivate lending salary service,موظف يريد الغاء خدمة الراتب المبكر,yes,"Vertical: Pay | Type: Request | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Employee wants to deactivate lending salary service
Question AR: موظف يريد الغاء خدمة الراتب المبكر

Script:
موظف يريد الغاء خدمة الراتب المبكر
Pay <- Request <- Employee wants to deactivate lending salary service
-Escalation:Yes
ممكن اعرف هل في اى مشكلة بتقابل حضرتك؟ ( هيتم مساعدة العميل ). حضرتك مش محتاج تلغى الخدمة لانى الخدمة مجانا ولما تحتاج تستخدمها هتكون متاحة للاستخدام.
لو العميل مصر علي الالغاء .. هنقدم للعميل طلب وبيتم الرد خلال 24 ساعة عمل .. مع كتابة الشركة الخاصة بالعميل في التكت
لازم نكتب سبب الالغاء في التيكت"
KB,1367,0a1ba21d0fd65c0b958b3d77df0f5917,0,Pay,Inquiry,Technical Issue,No,ok,Salary Advance limit not satisfying for customer,عميل يشكوا ان الليمت اللي نزله في الراتب المبكر اقل من اللي مضي عليه,yes,"Vertical: Pay | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Salary Advance limit not satisfying for customer
Question AR: عميل يشكوا ان الليمت اللي نزله في الراتب المبكر اقل من اللي مضي عليه

Script:
عميل يشكوا ان الليمت اللى نزله فى الراتب المبكر اقل من اللى مضى عليه:
Pay -> Inquiry -> Salary Advance limit not satisfying for customer
بنوضح للعميل انه بيمضي علي اعلي ليميت ممكن يوصله وبناء علي رد ال HR بينزل الليمت للعميل.
يعنى الليمت بيتحدد من الHR فقط بناء علي الاستقطاعات من مرتب العميل .. لو مرتب حضرتك يسمح باستقطاعات اعلي ممكن ترجع لل HR يطلب زيادة الليمت الخاص بالراتب المبكر."
KB,1387,cb56fda1677059139f2768728e7cfa09,0,Pay,Complain,Non-Technical Issue,No,ok,Wrong recharge (Halan),عميل يشكوا من تحويل مبلغ علي محفظة بالخطأ (Halan),yes,"Vertical: Pay | Type: Complain | Issue: Non-Technical Issue | Escalation: No

Question EN: Wrong recharge (Halan)
Question AR: عميل يشكوا من تحويل مبلغ علي محفظة بالخطأ (Halan)

Script:
عميل يشكوا من تحويل مبلغ على محفظة بالخطأ:
CRM : Pay -complaint - financial - wrong charge Escalation No
بنوضح للعميل طرق شحن المحفظة وتسديد الأقساط من خلالها .. وهنوضحله ان المبلغ يقدر يستخدمه علي التطبيق لشراء منتجات او تسديد اقساط وشحن فواتیر و رصيد او من خلال شبكة التجار, لا يمكن تحويله علي محفظة تانية."
KB,1391,d6a6253ae65953c1aac482ce4559568c,0,Pay,Complain,Non-Technical Issue,No,ok,Card Early Settlement (wallet recharge) (Halan),عميل يريد السداد المبكر لمعاملة لحالا كارت لكن حول المبلغ علي محفظة حالا بالخطأ,yes,"Vertical: Pay | Type: Complain | Issue: Non-Technical Issue | Escalation: No

Question EN: Card Early Settlement (wallet recharge) (Halan)
Question AR: عميل يريد السداد المبكر لمعاملة لحالا كارت لكن حول المبلغ علي محفظة حالا بالخطأ

Script:
عميل يريد السداد المبكر لمعاملة لحالا كارت لكن حول المبلغ على محفظة حالا بالخطأ:
CRM: Pay -complaint - financial - Card Early Settlement (wallet recharge)
Escalation No
في حالة العميل قام بتحويل المبلغ علي المحفظة بدلا من ايداعه فی الکارت لسداد المبکر بمعامله الکارت ..
بنوضح للعميل طريقة تسديد الأقساط من المحفظة .. وهنوضحله ان المبلغ يقدر يستخدمه علي التطبيق لشراء
منتجات او تسدید اقساط وشحن فواتیر و رصيد او من خلال شبكة التجار, لا يمكن تحويله علي محفظة ثانية. وهنوضحله طرق الإيداع الصحيحة علي الكارت (Instpay- فوري عن طريق 46688 - من خلال ماكينات البنك العربي الافريقي)"
KB,1557,622b7193f20b5fd2905bbadb377dfe2d,0,Pay,Complain,Technical Issue,Yes,ok,Salary lending offer issue,(Salary Lending) عميل يشكوا ان العرض مش شغال معاه,yes,"Vertical: Pay | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: Salary lending offer issue
Question AR: (Salary Lending) عميل يشكوا ان العرض مش شغال معاه

Script:
عميل يشكوا ان العرض مش شغال معاه:
Salary Advance -> complaint -> Salary lending offer issue
بيتم تقديم طلب مع توضيح كل بيانات العميل و كل تفاصيل الشكوي ونوع العرض وسيتم الرد خلال يوم عمل"
KB,1558,7064bceb369c55b1a82808ff852b4021,0,Pay,Complain,Non-Technical Issue,Yes,ok,"Delay of Halan card activation for Salary lending , Activate Halan card for Salary Lending","عميل يطلب تفعيل الكارت , يشكوا من عدم تفعيل الكارت بعد استلامه",yes,"Vertical: Pay | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Delay of Halan card activation for Salary lending , Activate Halan card for Salary Lending
Question AR: عميل يطلب تفعيل الكارت , يشكوا من عدم تفعيل الكارت بعد استلامه

Script:
عميل يطلب تفعيل الكارت \ يشكوا من عدم تفعيل الكارت بعد استلامه:
Salary Lending -> Complaint-> Non-tech -> Delay of Halan card activation for Salary lending salary Lending -> Request -> Activate Halan card for Salary Lending
سواء العميل يشكوا من تأخير التفعيل او بيطلب تفعيل كارت حالا لاستخدام خدمة الراتب المبكر .. هنوضحله
في حالة ان العميل عدي المهله بنقدم الطلب. تفعيل الكارت بيتم خلال 24 ساعة عمل من الاستلام اما لو العميل معداش المهله .. بنوضحله ان التفعيل بيكون خلال 48 ساعة عمل.
Escalation: Yes
Escalation: No"
KB,1560,03f76f53f15f5b40ad8ca8e3ddac412a,0,Pay,Complain,Non-Technical Issue,Yes,ok,Salary lending service is blocked,عميل يشكوا ان خدمة الراتب المبكر محظورة,yes,"Vertical: Pay | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Salary lending service is blocked
Question AR: عميل يشكوا ان خدمة الراتب المبكر محظورة

Script:
عميل يشكوا ان خدمة الراتب المبكر محظورة :
Salary lending -> complaint -> non -> Salary lending service is blocked
يتم التأكد من CRM الخدمة مفعله ولا لا (لو العميل Blocked مش بعميل معاه خطوات التنشيط
بنوضوح للعميل سبب الحظر من خلال الشيت
Escalation: No
لو بيانات العميل مش موجودة علي الشيت .. هنفتح شكوي للعميل لمعرفة سبب الحظر والرد هيكون خلال 24 ساعة عمل
Escalation: Yes"
