corpus_name,external_parent_id,chunk_id,chunk_index,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
KB,1002,e26b9c5884c15f2795b126996c12edaa,0,General,Inquiry,Technical Issue,No,ok,How to purchase one card,ازاي اقدر استفاد بالخدمة one card,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: How to purchase one card
Question AR: ازاي اقدر استفاد بالخدمة one card

Script:
ازاي اقدر استفاد بالخدمة؟
One Card -> inquiry -> How to purchase one card
حضرتك بتقدر تشتري القسيمة عن طريق تطبيق حالا من الصفحة الرئيسية قسائم الالعاب (Gaming vouchers) وبتشتري القسيمة اللي حضرتك محتاجها ..
بعد اتمام عملية الشراء بيظهر للعميل serial number الخاص بال voucher ولازم نأكد علي العميل اختيار اسم الدوله الصحيح التابع له جهاز الألعاب الخاص بيه (Server).
ملحوظة مهمه:
يعني لو العميل بيشغل الPlay station
علي USA لازم يختار الVoucher علي USA
X
Playstation Store
PlayStation Store
KSA
USA
UAE"
KB,1004,6484c62c89295ab28af26d8ba8375e0a,0,General,Complain,Technical Issue,Yes,ok,voucher not available (One Card),غير متاح voucher عميل يشكوا ان ال (One Card),yes,"Vertical: General | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: voucher not available (One Card)
Question AR: غير متاح voucher عميل يشكوا ان ال (One Card)

Script:
عميل يشكوا ان ال voucher غير متاح:
One Card -> complaint -> technical -> voucher not available
Escalated: Yes
هنعتذر للعميل وهنوضحله اننا هنقدمله شكوي وهيتم الرد خلال 48 ساعه عمل .. و لازم ناخد منه البيانات دي :
Voucher name -1 Transaction ID -2
Transaction date
-3
Screen shoot من المشكله -4"
KB,1005,0c8c731ae92d521499bd31ca96130c5a,0,General,Complain,Amount Deducted and Customer didn't receive the Serial Number (One Card),Yes,ok,Amount Deducted and Customer didn't receive the Serial Number (One Card),voucherعميل يشكوا ان  الفلوس اتخصمت و لم يستقبل ال (One Card),yes,"Vertical: General | Type: Complain | Issue: Amount Deducted and Customer didn't receive the Serial Number (One Card) | Escalation: Yes

Question EN: Amount Deducted and Customer didn't receive the Serial Number (One Card)
Question AR: voucherعميل يشكوا ان  الفلوس اتخصمت و لم يستقبل ال (One Card)

Script:
عميل يشكوا ان الفلوس اتخصمت ولم يستقبل الـ voucher (One Card):

One Card → complaint → technical → Amount Deducted and Customer didn't receive the Serial Number

هنعتذر للعميل وهنوضحله اننا هنقدمله شكوي وهيتم الرد خلال 48 ساعة عمل، ولازم ناخد منه البيانات دي:
1. Voucher name
2. Transaction ID
3. Transaction date
4. Screenshot من المشكلة

CRM: One Card → Complaint → Technical → Amount Deducted and Customer didn't receive the Serial Number | Escalation: Yes"
KB,1006,8eca4ccc9c235b7facc1996572ab96d2,0,General,Complain,Technical Issue,Yes,ok,Voucher Serial Number is missing numbers (One Card),عميل يشكوا ان ارقام ال voucher مش كامله (One Card),yes,"Vertical: General | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: Voucher Serial Number is missing numbers (One Card)
Question AR: عميل يشكوا ان ارقام ال voucher مش كامله (One Card)

Script:
عميل يشكوا ان ارقام ال voucher مش كامله:
One Card → complaint → technical → Voucher Serial Number is missing numbers

لازم نتأكد مع العميل انه بيكتب الرقم يدوي مش copy-paste، ونتأكد مفيش مسافات قبل او بعد الرقم.

لو العميل أكد انه عمل كده والمشكلة لسه موجودة:
بنوضحله هيتم تقديم شكوى والرد في خلال 48 ساعة عمل.

البيانات المطلوبة:
- اسم الـ voucher
- Transaction ID
- تاريخ المعاملة
- سكرين شوت من المشكلة

- Escalation: Yes"
KB,1008,23e79bc8682e52989fd7a0386b05502b,0,General,Complain,Technical Issue,Yes,ok,voucher not available (One Card),مش متوافق مع البلد اللي بيختارها Voucher عميل يشكوا ان ال (One Card),yes,"Vertical: General | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: voucher not available (One Card)
Question AR: مش متوافق مع البلد اللي بيختارها Voucher عميل يشكوا ان ال (One Card)

Script:
عميل يشكوا ان ال Voucher مش متوافق مع البلد اللى بيختارها:
One Card -> complaint -> technical -> voucher not available
Escalated: No
هنعتذر للعميل ان هو مسؤل عن الاختيار الvoucher ولازم نأكد علي اختيار اسم الدوله الصحيح التابع له جهاز الالعاب الخاص بيه (Server)
- يعني لو العميل بيشغل الPlay station علي USA لازم يختار الVoucher علي USA.
Google Play
- لو العميل فعلا اختار البلد الصح هنقدم الشكوي هيتم الرد خلال 48 ساعة عمل
Escalated: Yes
Google Play
UK US"
KB,1113,73ea6b9a2feb55dab0c54e7c58babc53,0,General,Request,Technical Issue,Yes,ok,Customer paid the installment and need to unlock the phone (Nokia c12),عميل يطلب فتح الموبايل مرة اخري بعد دفع الاقساط (Nokia),yes,"Vertical: General | Type: Request | Issue: Technical Issue | Escalation: Yes

Question EN: Customer paid the installment and need to unlock the phone (Nokia c12)
Question AR: عميل يطلب فتح الموبايل مرة اخري بعد دفع الاقساط (Nokia)

Script:
۔
عميل يطلب فتح الموبايل مرة اخرى بعد دفع الأقساط
في حالة العميل اشتري الموبايل من الفرع : هنوجه للفرع مرة اخري لايقاف الموبايل. في حالة شراء الموبايل من خلال التطبيق : هنتأكد من خلال CRM انه تم دفع الأقساط اولا ثم يتم فتح الموبايل للعميل من خلالنا مرة اخري.
Nokia -Request-Customer paid the installment and need to unlock the phone
Escalation: Yes"
KB,1114,3c1c60e75c74519bb95874f7b9f7790b,0,General,Request,Technical Issue,Yes,ok,Customer finished all the installments and need to remove the Locking Software (Nokia),عميل يطلب فتح الموبايل نهائيا بعد الانتهاء من دفع الاقساط (Nokia),yes,"Vertical: General | Type: Request | Issue: Technical Issue | Escalation: Yes

Question EN: Customer finished all the installments and need to remove the Locking Software (Nokia)
Question AR: عميل يطلب فتح الموبايل نهائيا بعد الانتهاء من دفع الاقساط (Nokia)

Script:
عميل يطلب فتح الموبايل نهائيا بعد الانتهاء من دفع الاقساط
في حالة العميل اشتري الموبايل من الفرع : هنوجه للفرع مرة اخري لايقاف الموبايل. - في حالة شراء الموبايل من خلال التطبيق : بعد التأكد من دفع جميع الاقساط من خلال CRM بنفتح القفل من خلالنا للعميل
Nokia -Request-Customer finished all the installments and need to remove the Locking Software
Escalation: Yes"
KB,1171,58851cf56eab5436a7a6cf4482178363,0,General,Inquiry,Technical Issue,No,ok,General Inquiry (Cash it),(Cash it) استفسار عميل عن امكانية كتابة جميع نوعيات المنتجات عند التقديم,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: General Inquiry (Cash it)
Question AR: (Cash it) استفسار عميل عن امكانية كتابة جميع نوعيات المنتجات عند التقديم

Script:
استفسار عميل عن امكانية كتابة جميع نوعيات المنتجات عند التقديم:
يتم اختيار منتج واحد في ال Category حتى في حالة وجود اكتر من نوعية منتج في الايصال. يتم كتابة قيمة الايصال بالكامل أو جزء منه بناءا على قيمة التمويل التي تريدها لا يشترط طلب تمويل بقيمة الايصال بالكامل.
Cash It -> Inquiry -> General Inquiry"
KB,1175,c850b7dfb927530395e69617f1c640d5,0,General,Inquiry,Technical Issue,No,ok,SLA for transferring money (Cash it),(Cash it) مدة تحويل التمويل,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: SLA for transferring money (Cash it)
Question AR: (Cash it) مدة تحويل التمويل

Script:
مدة تحويل التمويل:
يتم تحويل التمويل في خلال 3 ايام عمل بعد الموافقة على الطلب. A علي المحفظة الالكترونية او الحساب البنكي بناءا على اختيارك. يتم ارسال SMS بتحويل المبلغ.
Cash It -> Inquiry -> SLA for transferring money"
KB,1176,bfd6812c90fe59819d81a42e03046211,0,General,Inquiry,Technical Issue,No,ok,Asked about installment tenures (Cash it),(Cash it) استفسار العميل عن مدة التقسيط,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Asked about installment tenures (Cash it)
Question AR: (Cash it) استفسار العميل عن مدة التقسيط

Script:
استفسار العميل عن مدة التقسيط:
مدة التقسيط تبدأ من 6 شهور حتى 36 شهور يتم تحديدها من خلال التطبيق بناءا على المدة المناسبة معك.
Cash It -> Inquiry -> Asked about installment tenures"
KB,1177,8ecf25cf9e945a79a669bfd0fb28344a,0,General,Inquiry,Non-Technical Issue,No,ok,Asked about interest rate & Admin fees (Cash it),هل يوجد رسوم او فائدة على الخدمة (Cash It),yes,"Vertical: General | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Asked about interest rate & Admin fees (Cash it)
Question AR: هل يوجد رسوم او فائدة على الخدمة (Cash It)

Script:
هل يوجد رسوم او فائدة على الخدمة:
يوجد رسوم 5% يتم خصمها من قيمة التمويل ويتم ظهوره على التطبيق قبل تأكيد عملية السحب. متوسط نسبة فائدة 41% تقريبا على السنة وتختلف بناءا على مدة التقسيط المختارة من التطبيق. A
Cash It -> Inquiry -> Asked about interest rate & Admin fees"
KB,1178,33e105b71ddf5a8a9deb786650af356d,0,General,Inquiry,Non-Technical Issue,No,ok,Asked about rejection reason (Cash it),(Cash it) استفسار عميل عن سبب الرفض,yes,"Vertical: General | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Asked about rejection reason (Cash it)
Question AR: (Cash it) استفسار عميل عن سبب الرفض

Script:
استفسار عميل عن سبب الرفض:
بعتذر لحضرتك في البداية عن رفض الطلب الخاص بك. A ومن خلالي ايضا هوضح لحضرتك سبب الرفض لكن اولا برجاء توضيح بعض البيانات (الرقم القومي - الاسم > بالكامل - التواصل من نفس الرقم المسجل به الخدمة)
توضیح سبب الرفض من خلال ال Rejection Reason sheet
Cash It -> Inquiry -> Asked about rejection reason"
KB,1179,0d2e355d81ad52e5adca364436540eda,0,General,Inquiry,Technical Issue,No,ok,Asked about his request status (Cash it),(Cash it ) استفسار عميل عن حالة الطلب الخاصة به,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Asked about his request status (Cash it)
Question AR: (Cash it ) استفسار عميل عن حالة الطلب الخاصة به

Script:
استفسار عميل عن حالة الطلب الخاصة به:
من خلال التطبيق يمكن معرفة حالة الطلب الخاصة بيك (قيد الانتظار - تم الموافقة - تم الرفض)
ملحوظة ليك: يمكن معرفة حالة الطلب في حالة الرفض من خلال (Rejection sheet) - يمكن معرفة حالة الطلب من خلال ال CRM في حالة الموافقة -> Loan Issued
Cash It -> Inquiry -> Asked about his request status"
