corpus_name,external_parent_id,chunk_id,chunk_index,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
KB,1019,57fb51ec3d3b55b5853d7a3b7236165c,0,Gold,Request,Non-Technical Issue,No,ok,Customer wants to change contract signing from courier to branch,عميل يريد تغيير مضي العقد من المندوب للفرع,yes,"Vertical: Gold | Type: Request | Issue: Non-Technical Issue | Escalation: No

Question EN: Customer wants to change contract signing from courier to branch
Question AR: عميل يريد تغيير مضي العقد من المندوب للفرع

Script:
عميل يريد تغيير مضي العقد من المندوب للفرع:
بتأكد من البورتال حاله الطلب (لم يفعل بعد / جاهز للتوصيل).
بنسأل العميل عن سبب اتجاه للفرع و بنحاول نعدل العميل ان المندوب يروح ليه لامضاء العقد.
لو العميل اصر: بتوضح للعميل عنوان اقرب فرع ومواعيد الفرع وايه بيقدر يتوجه ليه لامضاء العقد، والعميل بيوضح للمندوب انه هيتوجه للفرع للامضاء.

ملحوظة: نبص علي منطقه العميل او المحافظه ينفع فيها فرع او مندوب ولا لأ قبل التأكيد علي العميل المعلومه.
- Escalation: No
- CRM: Request → Request a call from courier → Escalation Needed No
"
KB,1339,43c72febabbc5aeea4a39384c96fed72,0,Gold,Inquiry,Non-Technical Issue,No,ok,How to Apply (Gold),ازاي اقدر اقدم علي خدمة حالا للدهب ؟,yes,"Vertical: Gold | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: How to Apply (Gold)
Question AR: ازاي اقدر اقدم علي خدمة حالا للدهب ؟

Script:
إزاى اقدر اقدم على خدمة حالا للذهب ؟
Gold -> Inquiry -> How to Apply
• عشان تقدر تثبت سعر الذهب بسعر دلوقتى , ممكن حضرتك تفتح التطبيق معايا دلوقتي وتختار من ال7 منتجات المتوفرين وهيتواصلوا معاك ف خلال 48 ساعه لأنهاء اجراءات عملية الشراء.
• لو مش متوفر انترنت , تقدر تقدم الطلب بعد ما تقفل معايا وهيتواصلوا معاك."
KB,1340,e5d0e49102ac5d298536510486a453d7,0,Gold,Complain,Technical Issue,Yes,ok,Unable to apply,عميل يشتكي من ظهور رسالة خطأ اثناء التقديم في خدمة حالا جولد ؟,yes,"Vertical: Gold | Type: Complain | Issue: Technical Issue | Escalation: Yes

Question EN: Unable to apply
Question AR: عميل يشتكي من ظهور رسالة خطأ اثناء التقديم في خدمة حالا جولد ؟

Script:
عميل يشتكي من ظهور رسالة خطأ أثناء التقديم فى خدمة حالا جولد ؟
Gold -> Complaint -> Technical -> Unable to apply
نتأكد من قيمة الذهب اللي العميل بيشتريه ميكونش اكثر من الحد الائتماني الخاص بالعميل .. الحد الاقصى (مليون جنية) حسب الاستعلام."
KB,1348,6a3cd86cef0d5ff2a9fdc87673541f80,0,Gold,Request,Non-Technical Issue,Yes,ok,Customer asks about how to receive the gold and pickup location,في حالة سؤال العميل عن كيفية استلام الذهب و مكان الاستلام,yes,"Vertical: Gold | Type: Request | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Customer asks about how to receive the gold and pickup location
Question AR: في حالة سؤال العميل عن كيفية استلام الذهب و مكان الاستلام

Script:
في حالة سؤال العميل عن كيفية استلام الذهب و مكان الاستلام:
هنوضح للعميل انه فى خلال اقرب وقت هيتم التواصل لتوضيح.
- Escalation: Yes
- CRM: Gold → Request → asked to receive the gold"
KB,1380,5c201defea8a5083affb136e76e58019,0,Gold,Inquiry,Non-Technical Issue,No,ok,How to pay the installments,عميل يستسفر عن طرق دفع القسط؟,yes,"Vertical: Gold | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: How to pay the installments
Question AR: عميل يستسفر عن طرق دفع القسط؟

Script:
عميل يستفسر عن طرق دفع القسط؟
Gold -> Inquiry -> How to pay the installments
كريديت كارد (يجب دفع المبلغ المطلوب كما هو لا يمكن دفع جزء منه أو أكثر من المبلغ المطلوب) فوري عن طريق الكود 71822 متبوع برقم الموبايل او رقم البطاقة.
عن طريق محفظة حالاً.
عن طريق اي محفظة الكترونية (حالا كاش او اي محفظة تانية)
عن طريق كارت حالا (يجب على العميل قفل زر ""التقسيط بكارت حالا"" من التطبيق).
عن طريق اي ماكينة ""بساطة / مكسب/أمان""o-pay / بإستخدام رقم الموبايل او الرقم القومي
عن طريق InstaPay"
KB,1388,6bcb5267dce051d9a61ad9cd8df7faec,0,Gold,Request,Non-Technical Issue,Yes,ok,Confirmation on his request,طلب العميل مكالمة من القسم المختص في حالة مرور المهلة ومازال في انتظار الموافقة,yes,"Vertical: Gold | Type: Request | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Confirmation on his request
Question AR: طلب العميل مكالمة من القسم المختص في حالة مرور المهلة ومازال في انتظار الموافقة

Script:
طلب العميل مكالمة من القسم المختص في حالة مرور المهلة ومازال في انتظار الموافقة:
في حالة مرور المهلة ولم يتم التواصل بيه يتم تقديم طلب والتواصل بيه في خلال يوم عمل . بيتم مراجعة البيانات (رقم الموبيل - الرقم القومي - الاسم بالكامل)
Gold -> Request -> Confirmation on his request
Activate Windo Cato Cattings ta r"
KB,1404,34fee8cbcf67592fb3eb72cb5a5c24fb,0,Gold,Inquiry,Technical Issue,No,ok,General Inquiry,ما هي خدمة حالا جولد و الشروط الخاصة بالتقديم؟,yes,"Vertical: Gold | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: General Inquiry
Question AR: ما هي خدمة حالا جولد و الشروط الخاصة بالتقديم؟

Script:
ما هى خدمة حالا جولد والشروط الخاصة بالتقديم؟
Gold -> Inquiry -> General Inquiry
• دلوقتي بتقدم لحضرتك فرصة انك تشتري دهب بالتقسيط على 12 شهر و طبعا ده بيكون بسعر انهاردة وتقدر تستلمه بعد انتهاء المده , يعني اكنك اشتريت دهب كمان سنه بسعر انهاردة وزي ما حضرتك عارف اسعار الذهب ف زيادة دايما يعنى استثمار ناجح.
الشروط الخاصة:
٥ سبائك ( 5 جرام , 10 جرام, 20 جرام، ربع جنيه دهب، نص جنية دهب، جنيه ذهب او أونصة) حضرتك تقدر تختار اللي بتفضله.
الخدمة متاحة حاليا التوصيل في معظم المحافظات ( يتم التوصيل فى معظم الاماكن المتاح بها مناديب فقط) ۔
٥ بيكون في مصاريف شراء 2% بيتم دفعهم عند امضاء الأوراق ومش بيتم خصمها من سعر الذهب ٥ نسبة الفائدة بتكون 19.66 -- في حالة سؤال العميل. ( هذه الفائدة للعملاء الجدد ولن تتغير في حالة العميل المفعل)
° وعشان تقدر تثبت سعر الذهب بسعر دلوقتي , ممكن حضرتك تفتح التطبيق معايا دلوقتي ونقدم الطلب وهيتواصلوا معاك ف خلال 48 ساعه لأنهاء اجراءات عملية الشراء.
٥ لو مش متوفر انترنت , تقدر تقدم الطلب بعد ما تقفل معايا وهيتواصلوا معاك."
KB,1405,85491a69577850399504c1aa163d87e2,0,Gold,Inquiry,Technical Issue,No,ok,How to Apply,ازاي اقدر اقدم علي خدمة حالا للدهب ؟,yes,"Vertical: Gold | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: How to Apply
Question AR: ازاي اقدر اقدم علي خدمة حالا للدهب ؟

Script:
ازاى اقدر اقدم على خدمة حالا للذهب ؟
Gold -> Inquiry -> How to Apply
يتم التقديم من خلال التطبيق أو فروع مشروعي وتساهيل.
• إفي حالة التقديم من التطبيق عشان تقدر تثبت سعر الذهب بسعر دلوقتي, ممكن حضرتك تفتح التطبيق معايا دلوقتي وتختار من ال7 منتجات المتوفرين وهيتواصلوا معاك ف خلال 48 ساعه لأنهاء إجراءات عملية الشراء.
• لو مش متوفر انترنت , تقدر تقدم الطلب بعد ما تقفل معايا وهيتواصلوا معاك."
KB,281,15c8cdb53c1052b7a8baecd8dea048f8,0,Gold,Inquiry,Non-Technical Issue,No,ok,How can I grantee the service,في حالة سؤال العميل عن ازاي يضمن الخدمة؟,yes,"Vertical: Gold | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: How can I grantee the service
Question AR: في حالة سؤال العميل عن ازاي يضمن الخدمة؟

Script:
فى حالة سؤال العميل عن ازاى يضمن الخدمة؟
Gold -> Inquiry -> How can I grantee the service
شركة حالا للتمويل الاستهلاكي موجودة ف السوق من سنة 2017 , ومرخص للشركة بمزاولة نشاط التمويل الاستهلاكي. والشركة عندها اكتر من نشاط قائم ف السوق و موجودين علي التطبيق تقدر"
KB,422,b6139487dcc457129d87e3fe473ed7d5,0,Gold,Inquiry,Non-Technical Issue,No,ok,,في حالة سؤال العميل عن العقد الخاص بخدمة الدهب؟ (Gold),yes,"Vertical: Gold | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question AR: في حالة سؤال العميل عن العقد الخاص بخدمة الدهب؟ (Gold)

Script:
فى حالة سؤال العميل عن العقد الخاص بخدمة الدهب؟
حضرتك المندوب بيجيلك بالعقد الخاص بالدهب بيكون عقد التمويل وعقد الرهن الخاص بالدهب .. "" في الوقت الحالي العقد مكون من نسخة واحدة"" ولو حضرتك محتاج تصور العقد بالموبايل مفيش مشكلة
· المندوب بيستلم من حضرتك مصاريف الشراء وبيسلم حضرتك اقرار استلام مصاريف الشراء , وبعد امضاء العقد بنتواصل مع حضرتك لتسليمك شهادة خاصة بالدهب."
